jpohhhh,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 02:09:08 +0000 2018
NAVY_Mom1969,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:54:49 +0000 2018
kmarsh625,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:54:47 +0000 2018
mother3bears,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:54:38 +0000 2018
WritingSilver,This is horrifying https://t.co/8z9nSYnlv8,,Sun Aug 19 01:54:31 +0000 2018
Jill_Gregory,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:54:27 +0000 2018
camg3699,Realizing that the things you thought you were done with aren't ever really done or gone is horrifying.,,Sun Aug 19 01:54:22 +0000 2018
britnidlc,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:54:18 +0000 2018
New_Yo_Riquen,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:54:05 +0000 2018
chemborg,"RT @BernieUpstateNY: How can we ignore this?

The images are horrifying &amp; traumatizing, but imagine being there &amp; seeing your child beheadd…","How can we ignore this?

The images are horrifying &amp; traumatizing, but imagine being there &amp; seeing your child beheadded by US bombs.

We would be RIGHTLY OUTRAGED.

But it's not US, so it's ok to ignore?!? NO. NO. NO. NO.

*****GRAPHIC CONTENT WARNING*****

#OpDeSanitize https://t.co/Ictu9CwT6v",Sun Aug 19 01:53:57 +0000 2018
DrKSBhardwaj2,@paulocoelho What Will Be The Ground Realities When Pics Are Horrifying? @rashtrapatibhvn @narenderamodi @rajnathsingh,,Sun Aug 19 01:53:54 +0000 2018
gramsdimmig,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:53:40 +0000 2018
CoachRevJen,RT @miaphifer: It’s almost daily we are heading of these horrifying examples of terror! https://t.co/C2Obh0dkFZ,It’s almost daily we are heading of these horrifying examples of terror! https://t.co/C2Obh0dkFZ,Sun Aug 19 01:53:37 +0000 2018
flangy,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:53:30 +0000 2018
BetsynNashville,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:53:18 +0000 2018
DrKSBhardwaj2,What Will Be The Ground Realities When Pics Are Horrifying? @rashtrapatibhvn @narenderamodi @rajnathsingh https://t.co/zgTtOCZEBw,,Sun Aug 19 01:53:18 +0000 2018
Inkling61,@RBReich A horrifying thought.,,Sun Aug 19 01:53:11 +0000 2018
GoldenAlchemits,"@HaydenTakamaki2 It’s just horrifying, don’t watch it if you don’t want PTSD nightmares",,Sun Aug 19 01:53:01 +0000 2018
DeytonVicki,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:53:00 +0000 2018
RpublicRestored,@RealJamesWoods This is actually horrifying. Could you imagine this?! The whole world like one giant state?! Terrible.,,Sun Aug 19 01:52:58 +0000 2018
Anup_Patel,"RT @RAICESTEXAS: This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

N…","This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

No one is illegal. 
This is not how we should treat one another.

#AbolishICE 

https://t.co/jgIqG0PGal",Sun Aug 19 01:52:51 +0000 2018
Richie_Gopel,Life is horrifying and exciting.,,Sun Aug 19 01:52:47 +0000 2018
CycloneGal86,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:52:37 +0000 2018
smallywood,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:52:37 +0000 2018
142Countries,FBI Released Obama’s Horrifying Secret Proving He’s The Deadliest Presid... https://t.co/GLZuRisbuH via @YouTube,,Sun Aug 19 01:52:33 +0000 2018
timstege,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:52:30 +0000 2018
collife,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:52:13 +0000 2018
robert_hove,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:51:59 +0000 2018
localaaron,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:51:50 +0000 2018
coanchar,"RT @ShauneArnold: Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does.…","Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does. The Dworkin Report https://t.co/2QWqZLa3y3",Sun Aug 19 01:51:46 +0000 2018
dianeunger,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:51:44 +0000 2018
jrbaltmd57,RT @AliceResists: @Jessicafu2_usab @jrbaltmd57 @PaulMayATL @GOP The truth is too terrifying for people to accept so they deliberately tune…,@Jessicafu2_usab @jrbaltmd57 @PaulMayATL @GOP The truth is too terrifying for people to accept so they deliberately tune out to prevent themselves distress. It's easier to cling to tidbits from climate deniers than to acknowledge that their world is going to permanently change in a horrifying future.,Sun Aug 19 01:51:36 +0000 2018
RUGreatYet,RT @deidresensiba: Is America great yet?? This is horrifying and beyond evil. #NovemberIsComing #VoteBlue https://t.co/RepraiUE1H,Is America great yet?? This is horrifying and beyond evil. #NovemberIsComing #VoteBlue https://t.co/RepraiUE1H,Sun Aug 19 01:51:27 +0000 2018
MAINLYFUCKED,RT @iMeganFox: I studied fiction writing. :) so I love how this child thinks he can educate me. joke. - WRITERS will always write genres th…,"I studied fiction writing. :) so I love how this child thinks he can educate me. joke. - WRITERS will always write genres they enjoy reading. And they will only write horrifying events to propel a story forward, or to achieve character growth. - but this is BOOKS. not ROLEPLAY.",Sun Aug 19 01:51:07 +0000 2018
