SeshfuII,a bitch had to walk home in the down pouring rain hehe rawr xd,,Sat Aug 18 22:45:44 +0000 2018
m_sanders9,Pretty satisfying watching the freshmen move in while it’s pouring rain,,Sat Aug 18 21:22:09 +0000 2018
OneSayingGirl,"Before I die, I would like to kiss someone in the pouring rain.",,Sat Aug 18 21:22:05 +0000 2018
aliceemilie,honestsycrets: Pouring Rain Credits: janglejanglejane. Collage is mine but the individual pictures are... https://t.co/hE5JV1yHu0,,Sat Aug 18 21:21:47 +0000 2018
r_talsky,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 21:21:43 +0000 2018
lipsofpjm,its been pouring rain tonight its such a cool weather now outside oof alright im in a hella cuddly mood :(,,Sat Aug 18 21:21:07 +0000 2018
Streetfotograph,"Few drops of rain, falling on the leaf and the ground, like a bud of nature with a sweet gentle smell. It was a gloomy day, and pouring time after time from the... https://t.co/lQlnu2bFUv",,Sat Aug 18 21:20:59 +0000 2018
fotoDocumentary,"Few drops of rain, falling on the leaf and the ground, like a bud of nature with a sweet gentle smell. It was a gloomy day, and pouring time after time from the... https://t.co/zgEEKFTGpA",,Sat Aug 18 21:20:56 +0000 2018
lightncompmag,"Few drops of rain, falling on the leaf and the ground, like a bud of nature with a sweet gentle smell. It was a gloomy day, and pouring time after time from the... https://t.co/L0wzjc8p9X",,Sat Aug 18 21:20:53 +0000 2018
PortraitinPhoto,"Few drops of rain, falling on the leaf and the ground, like a bud of nature with a sweet gentle smell. It was a gloomy day, and pouring time after time from the... https://t.co/b6PYAl9EEL",,Sat Aug 18 21:20:47 +0000 2018
k8iej0,it started pouring rain when i clocked out n now I’m just going home to lay tf in bed for the next 7 hours thaaanx goodnight,,Sat Aug 18 21:18:53 +0000 2018
Jdukes23,Someone has to be out there making a filet and Bacon wrapped asparagus in the pouring rain. I mine as well be that guy! https://t.co/eNsBiYGnjs,,Sat Aug 18 21:17:50 +0000 2018
71bouchw,All of a sudden it's pouring rain with loud thunder!! ⛈⛈⛈⛈⛈⛈⛈⛈⛈⛈⛈😩😩,,Sat Aug 18 21:17:33 +0000 2018
makeitpainless8,"'Everything that happens is from now on

This is pouring rain

This is paralyzed' 

https://t.co/QX48Actb8S",,Sat Aug 18 21:16:56 +0000 2018
itsjent,"So sick and tired of the pouring rain
I took a TRAIN to morOCco just to
KILL
the
PAIN",,Sat Aug 18 21:16:37 +0000 2018
BLOOMFLEX,pouring rain fuck,,Sat Aug 18 21:16:01 +0000 2018
_blackpprincess,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 21:15:24 +0000 2018
AmyAMilford,"RT @tbonegrl tbonegrl: Followed by a 20 mile trail run. 😂 -these lovelies for the first loop -4 goat fist bumps/a needed catch up -a John sighting -turkeys -a missed Travis high five -pouring, amazing rain. Puddles. Water crossings. Flooded trails #NAFlagvisorFarmTeam #ivego…",,Sat Aug 18 21:14:18 +0000 2018
paulodossa,Rain came pouring down. https://t.co/UCdyfBeFwV,,Sat Aug 18 21:13:09 +0000 2018
tbonegrl,"Followed by a 20 mile trail run. 😂 
-these lovelies for the first loop 
-4 goat fist bumps/a needed catch up
-a John sighting
-turkeys 
-a missed Travis high five
-pouring, amazing rain. Puddles. Water crossings. Flooded trails
#NAFlagvisorFarmTeam #ivegotaproblem #trailrunning https://t.co/R8ytvgUJlT",,Sat Aug 18 21:12:52 +0000 2018
TimmyHillFan66,Been pouring the rain for the last 10-15 min with no end in sight for the time being 😓,,Sat Aug 18 21:12:46 +0000 2018
uwujnghyn,It started pouring rain and I was wearing my nike slides. To the guy who was wearing Gucci slides when I left this morning. I wish you luck dude,,Sat Aug 18 21:10:25 +0000 2018
fuzzytoesocks,@nstynikk Lol David had his whole top off during piss pouring rain while stuck at work and his friends came and drove it home sooooo. Feelsbadman,,Sat Aug 18 21:09:15 +0000 2018
stillwithgrande,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 21:08:15 +0000 2018
news5wcyb,"@JoeNichols having a Woodstock moment in the infield of @BMSupdates 
We've lost the track, rain pouring down, and Joe's singing about a cold one.
#ItsBristolBaby",,Sat Aug 18 21:07:06 +0000 2018
pyalynda,"RT @CallmePRUKSA: YOU make my heart feel like it’s summer when the rain is pouring down ~ 🎵💕

to someone who always be my special one and o…","YOU make my heart feel like it’s summer when the rain is pouring down ~ 🎵💕

to someone who always be my special one and only :) 
#KornBNK48 https://t.co/r8cqliPcAd",Sat Aug 18 21:06:11 +0000 2018
awarszone,If you use cruise when it’s pouring down the rain you’re literally asking to hydroplane,,Sat Aug 18 21:05:38 +0000 2018
greyliliy,And now it's pouring rain. Probably should have checked the weather. XD,,Sat Aug 18 21:05:13 +0000 2018
spazmatism,(had to stop practicing cuz it started pouring down rain),,Sat Aug 18 21:05:00 +0000 2018
ProfessorSappy,"@llewelynduck SHE WAS SIXTEEN IN THE POURING RAIN AND DID TWICE THE ROUTE, OKAY, AND SHE FENDED OFF A SOLDIER WITH A STICK! SHE DESERVES IT!!",,Sat Aug 18 21:04:48 +0000 2018
perxltas,"they’re in the pouring rain, me yesterday",,Sat Aug 18 21:04:33 +0000 2018
xxrouguexx,Only in Massachusetts will you find idiots who leave the top down while driving in the pouring rain https://t.co/Nvi4NsuoBh,,Sat Aug 18 21:04:29 +0000 2018
thefightbuzz,Fury goes the full 10 rounds and it'll be a shutout win for Tyson. The rain is pouring down in Belfast now and the fans didn't sound happy.,,Sat Aug 18 21:02:49 +0000 2018
_wdwsmiles_,RT @BeautyChickee: I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,Sat Aug 18 21:02:20 +0000 2018
ArianatorAri14,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 21:01:57 +0000 2018
brokenbitch____,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 21:01:34 +0000 2018
thejayyyr,"highkey missing rainy days. stayin home. thick ass blankets. lights completely out while watchin TV. the sound of rain pouring in the background as you’re holding that special someone.

current mood: sappy as fuck ☺️❤️",,Sat Aug 18 21:01:21 +0000 2018
emilystinee,I love the pouring down rain that just randomly started while I was walking my dog,,Sat Aug 18 21:00:57 +0000 2018
princess_aysia8,gotta walk to my car with all my shit in this pouring fucking rain!!! 🙄🙄,,Sat Aug 18 21:00:22 +0000 2018
MikeyWatkins_,This rain is pouring 🙄,,Sat Aug 18 20:59:52 +0000 2018
Ramachandramen3,"@sardesairajdeep Situation is grim in Kerala
Hundreds have died. Many houses are vacated andthe people are in relief camps. Army, Navy and Air force are called. Power is not there in many place. Dring water scarce. Rain is pouring. Nobody in the national medea cares about us.",,Sat Aug 18 20:59:18 +0000 2018
priscilagarmico,RT @minarenny: A Jikook au where Jimin finds Jungkook on the side of the road in the pouring rain and takes him in only to discover that he…,"A Jikook au where Jimin finds Jungkook on the side of the road in the pouring rain and takes him in only to discover that he’s a hybrid, which unleashes a whole new set of problems—including the reason for Jungkook’s distrust. https://t.co/fC3ErMRyRz",Sat Aug 18 20:59:18 +0000 2018
AAARPGodess,RT @TheFranchise41: shoot!  it's gonna be pouring rain there in 10 - 15 minutes,shoot!  it's gonna be pouring rain there in 10 - 15 minutes,Sat Aug 18 20:59:14 +0000 2018
kianasecor98,I would just like to announce that you’re a very shitty person if you don’t tip somebody delivering food to you ESPECIALLY IN THE POURING RAIN,,Sat Aug 18 20:58:58 +0000 2018
miastylex,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 20:58:38 +0000 2018
marisolthemua,"RT @Mollysunicorns: I love @taylorswift13 SO much for the FACT that she is SO dedicated to her fans, and adores them SO much that she will…","I love @taylorswift13 SO much for the FACT that she is SO dedicated to her fans, and adores them SO much that she will literally sing and dance in the pouring wet rain, Get drenched... Let her hair become flat and risk slipping on stage... For them! #swifty #reptour #TaylorSwift",Sat Aug 18 20:58:30 +0000 2018
izfleetwood,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 20:58:24 +0000 2018
ChristianKinell,"Let me present to you, my best friend and the love of my life.... aka my beutiful wife! ❤ Just sitting down at our pier, looking casual and sweet... in pouring rain...
#wife #fru #love… https://t.co/XwNGVjA1D7",,Sat Aug 18 20:58:03 +0000 2018
YungEvvo,My girl waited in the pouring rain for me through the parade today 😢 https://t.co/35uxDA0WPF,,Sat Aug 18 20:57:13 +0000 2018
HeartfulHerron,RT @BeautyChickee: I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,Sat Aug 18 20:57:04 +0000 2018
reignmongeau,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 20:56:54 +0000 2018
SEO373,"RT @nell_useless: 넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

20…","넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

2016년 Day after day
: I’ll sail through the pouring rain
물론 다 흠뻑 젖을 테지만 그러면 어때
I’ll dance in the rain",Sat Aug 18 20:56:41 +0000 2018
JOC__1991,"In bed, the rain is pouring and about to watch the 2006 San Marino Grand Prix. 

Excellent 👌",,Sat Aug 18 20:55:42 +0000 2018
TheFranchise41,shoot!  it's gonna be pouring rain there in 10 - 15 minutes,,Sat Aug 18 20:55:27 +0000 2018
GAWAfans,Boxing in the pouring rain...only in Northern Ireland,,Sat Aug 18 20:55:23 +0000 2018
RyanBeesleyFox5,RT @AlexaLiackoFOX5: Am I in a car wash or something?! Rain is POURING and plenty of thunder and lightning In Dekalb County. @FOX5Atlanta @…,Am I in a car wash or something?! Rain is POURING and plenty of thunder and lightning In Dekalb County. @FOX5Atlanta @FOX5StormTeam https://t.co/QOKFFlF8tc,Sat Aug 18 20:52:59 +0000 2018
king_vib3n_12,You’re my sunshine in the rain when it’s pouring,,Sat Aug 18 20:51:03 +0000 2018
Keesgaar64,Pouring rain and the lightning has started and I can feel the power going out,,Sat Aug 18 20:48:14 +0000 2018
elgordo99,Pouring rain now @poconoraceway. So what? Who cares? #Awning #PoconoInATrailer https://t.co/RR8uIRUlWX,,Sat Aug 18 20:48:05 +0000 2018
_dsmith2_,damn soon as a nigga wanna go outside it wanna start pouring down rain 😂,,Sat Aug 18 20:47:49 +0000 2018
TheConster,"Ok, let’s go see a #shipwreck in the pouring #rain #mvplassy @ Óstán InisOírr https://t.co/0Q0C6oV3Hd",,Sat Aug 18 20:46:05 +0000 2018
sportsdoctormd,It's 4:45. There is thunder and pouring rain at Talen Energy Stadium.,,Sat Aug 18 20:45:46 +0000 2018
gigispeaksmind,"@CNNPolitics Wow, it’s pouring rain on trump. But it’s not the gold rain trump’s come to love over the decades.",,Sat Aug 18 20:45:37 +0000 2018
tomrupprecht,"RT @ThePhilosopurr: Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might los…","Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might lose vision in the other.
Pray he/she makes it through the night. Roughly 3-4 weeks old. 
Drank some water and did eat some wet food.
Updates tomorrow!
Goodnight💕 https://t.co/kpAN9S7Ii0",Sat Aug 18 20:45:16 +0000 2018
iluvggustin,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 20:42:40 +0000 2018
lydiiaxrose,RT @lydiiaxrose: i woke up to the pouring rain at 6am and that made me happy,i woke up to the pouring rain at 6am and that made me happy,Sat Aug 18 20:42:03 +0000 2018
godisahoneymoon,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 20:41:41 +0000 2018
MBurrow00,"#hamptonheat200 bound w/ @Burrow00, I-64 crawling and pouring rain just started https://t.co/AbGWBRLI1Z",,Sat Aug 18 20:40:03 +0000 2018
thezeeeeeez,"RT @WaddaaAbutalib: Maroon 5: I don't mind spending every day
Out on your corner in the pouring rain
Look for the girl with the broken smil…","Maroon 5: I don't mind spending every day
Out on your corner in the pouring rain
Look for the girl with the broken smile
Ask her if she wants to stay a while

11 year old me: 
AAAAAND SHE WILL BE LOVED
AAAAAND SHE WILL BE LOVED https://t.co/7yiiAVzI42",Sat Aug 18 20:39:51 +0000 2018
TomMorache,Just started pouring rain here @Citifield North in Connecticut and my #Directv is going in and out. #Mets,,Sat Aug 18 20:38:08 +0000 2018
gohexyourself,"Was halfway thru replacing the third of three outside lights and it started POURING. Finished it up under an umbrella, and I'm not even mad because we need the rain so badly.

And all three work - yay me! https://t.co/XbZRBuc0Tm",,Sat Aug 18 20:37:08 +0000 2018
FethiyeLocal,"#Summer showers can be a bummer, but not this time, not this place -#downtown #Stamford, not when tucked just in a safe distance from pouring rain... over #tapas and #caipirinha. #locallyowned #locallyoperated... https://t.co/j3uVK7NjDL",,Sat Aug 18 20:37:00 +0000 2018
