CmCristy53,RT @Marebear1472: @paxton Is the shooter in custody?,@paxton Is the shooter in custody?,Sun Aug 19 15:41:13 +0000 2018
samike88,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:34:39 +0000 2018
TimothyFramp10,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:34:29 +0000 2018
grannycoo,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:33:17 +0000 2018
davealvord164,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:32:04 +0000 2018
jcpeanut2345,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:31:42 +0000 2018
2_blare,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:31:40 +0000 2018
LabRatRho,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:31:23 +0000 2018
keeks2203,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:31:11 +0000 2018
jimsarty,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:29:14 +0000 2018
NicholasBoek,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:28:44 +0000 2018
vmetu,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:28:38 +0000 2018
manny_ottawa,"Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",,Fri Aug 10 23:28:11 +0000 2018
Bergg69,RT @Jackstar009: #CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two unifo…,#CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two uniformed bodies and one civilian were seen on the ground by this witness. Still very active scene despite one shooter in custody. #Fredericton,Fri Aug 10 23:24:02 +0000 2018
CindyDcmurphy,RT @AnnaSophia777: @Imamofpeace They won't even release the name&amp;info of that evil-rabid-savage shooter even though they have demonic creep…,@Imamofpeace They won't even release the name&amp;info of that evil-rabid-savage shooter even though they have demonic creep in custody! #POSJournalism not  #PeaceJournalism I sense the dark matter in universe is hell&amp;that's where all the putrid energy goes like those that harm&amp;/murder innocent!,Fri Aug 10 23:08:02 +0000 2018
iamcdnkate,"@SpencerFernando Very suspect that the authorities are not naming the shooter that they have in custody, I’m betting he’s of Middle Eastern decent.",,Fri Aug 10 22:56:39 +0000 2018
Canadians4RGov,The name of the shooter in custody is being withheld from the public just like the Danforth shooting. And the Liberals say everything is safe and they want to take you guns away. https://t.co/qcByouCbp4,,Fri Aug 10 22:30:04 +0000 2018
KennedyHDnation,RT @AnnaSophia777: @Imamofpeace They won't even release the name&amp;info of that evil-rabid-savage shooter even though they have demonic creep…,@Imamofpeace They won't even release the name&amp;info of that evil-rabid-savage shooter even though they have demonic creep in custody! #POSJournalism not  #PeaceJournalism I sense the dark matter in universe is hell&amp;that's where all the putrid energy goes like those that harm&amp;/murder innocent!,Fri Aug 10 20:14:55 +0000 2018
sn0wball11,RT @Jackstar009: #CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two unifo…,#CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two uniformed bodies and one civilian were seen on the ground by this witness. Still very active scene despite one shooter in custody. #Fredericton,Fri Aug 10 20:13:43 +0000 2018
Poundcake574,@ABC SUSPECT IN CUSTODY MEANS WHITE SHOOTER AS USUAL!!,,Fri Aug 10 19:57:53 +0000 2018
themadsloth,RT @AnnaSophia777: And they will not release the name and description of the shooter and  all the specifics even though they are in custody…,"And they will not release the name and description of the shooter and  all the specifics even though they are in custody!  This is total BS!   So sorry to those that were effected and the friends and families of the  victims.
It's #POSJournalism not #PeaceJournalism! https://t.co/559jGIniN8",Fri Aug 10 19:53:44 +0000 2018
pblowe2,"Sad Day-Fredericton NB-(2) capital city police officers (1) male and (1) female shot dead along with (2) civilians-shooter is in custody in hospital
  #FrederictonShooting",,Fri Aug 10 19:51:31 +0000 2018
themadsloth,RT @AnnaSophia777: @Imamofpeace They won't even release the name&amp;info of that evil-rabid-savage shooter even though they have demonic creep…,@Imamofpeace They won't even release the name&amp;info of that evil-rabid-savage shooter even though they have demonic creep in custody! #POSJournalism not  #PeaceJournalism I sense the dark matter in universe is hell&amp;that's where all the putrid energy goes like those that harm&amp;/murder innocent!,Fri Aug 10 19:51:01 +0000 2018
AnnaSophia777,@Imamofpeace They won't even release the name&amp;info of that evil-rabid-savage shooter even though they have demonic creep in custody! #POSJournalism not  #PeaceJournalism I sense the dark matter in universe is hell&amp;that's where all the putrid energy goes like those that harm&amp;/murder innocent!,,Fri Aug 10 19:48:02 +0000 2018
ShmooReport,RT @ShmooReport: Certainly looks like it. The police at Fredricton news conference still unwilling to release the name of the shooter. They…,Certainly looks like it. The police at Fredricton news conference still unwilling to release the name of the shooter. They have him in custody in a hospital bed and are unwilling to release his name???? https://t.co/C5dT5Roqui,Fri Aug 10 19:47:21 +0000 2018
AnnaSophia777,"And they will not release the name and description of the shooter and  all the specifics even though they are in custody!  This is total BS!   So sorry to those that were effected and the friends and families of the  victims.
It's #POSJournalism not #PeaceJournalism! https://t.co/559jGIniN8",,Fri Aug 10 19:47:17 +0000 2018
LarryOQuinn,RT @ShmooReport: Certainly looks like it. The police at Fredricton news conference still unwilling to release the name of the shooter. They…,Certainly looks like it. The police at Fredricton news conference still unwilling to release the name of the shooter. They have him in custody in a hospital bed and are unwilling to release his name???? https://t.co/C5dT5Roqui,Fri Aug 10 19:46:14 +0000 2018
ShmooReport,Certainly looks like it. The police at Fredricton news conference still unwilling to release the name of the shooter. They have him in custody in a hospital bed and are unwilling to release his name???? https://t.co/C5dT5Roqui,,Fri Aug 10 19:44:45 +0000 2018
praisehauler,"New Brunswick, Canada. Another shooter in custody, 4 dead. Little is yet known about the circumstances.",,Fri Aug 10 19:11:21 +0000 2018
klsbower,"2 police officers among 4 dead in Fredericton shooting, injured suspect in custody
https://t.co/AQKsEcJeSl why treat shooter let him die ! https://t.co/yc846fle8h",,Fri Aug 10 19:10:14 +0000 2018
bluejayjim,"#NewBrunswick the shooter is in custody being treated, why no identity of shooter being released is already suspicious.",,Fri Aug 10 19:07:47 +0000 2018
IrishLass2393,who is the shooter.   https://t.co/GlA4jmFbU1,,Fri Aug 10 18:37:14 +0000 2018
GinaChungCP24,WATCH: @CityFredPolice to provide an update into a fatal shooting that left four people dead including two officers. The shooter is in custody. Tune into @CP24,,Fri Aug 10 18:30:56 +0000 2018
HowardVaughnG,RT @Jackstar009: #CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two unifo…,#CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two uniformed bodies and one civilian were seen on the ground by this witness. Still very active scene despite one shooter in custody. #Fredericton,Fri Aug 10 17:25:36 +0000 2018
TommyChong840,RT @Jackstar009: #CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two unifo…,#CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two uniformed bodies and one civilian were seen on the ground by this witness. Still very active scene despite one shooter in custody. #Fredericton,Fri Aug 10 16:53:21 +0000 2018
buckycarbon,"@KaelArts There was an active shooter situation very near my home and general area of living, 4 reported dead and many injured. They got a suspect in custody now",,Fri Aug 10 16:46:40 +0000 2018
seankelly014,RT @Jackstar009: #CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two unifo…,#CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two uniformed bodies and one civilian were seen on the ground by this witness. Still very active scene despite one shooter in custody. #Fredericton,Fri Aug 10 16:31:55 +0000 2018
ReportSpeeders,"2 LEOs among 4 dead in Canada shooting: By PoliceOne Staff NEW BRUNSWICK, Canada – A suspect is in custody after at least four people were shot and killed in Fredericton, New Brunswick. According to the BBC, two police officers were… https://t.co/xZemK5N0Xc US Law Police Crime https://t.co/dP6nS8GaCV",,Fri Aug 10 16:16:19 +0000 2018
perilofafrica,"via @PerilofAfrica  CANADA: Active shooter in the province of New Brunswick, Fredericton: Fredericton shooting: Police say at least four dead in Brookside Drive area, suspect in custody
Police were asking residents in the Brookside Drive area to stay in... https://t.co/VeWgni1Wrc",,Fri Aug 10 16:15:13 +0000 2018
HansCorp,@CityFredPolice Police say they have a suspect in custody....means shooter is white.,,Fri Aug 10 15:32:59 +0000 2018
jukejambizzle7,"@dfwzxch @rauhlmani let’s look at this. every school shooting has been a white male. when the parkland school shooting happened, the shooter, nicolas cruz (however you spell his name), was taken into custody with NO injury. a black man around the same time frame was standing in his grandmothers-",,Fri Aug 10 15:28:11 +0000 2018
Heather14254951,Horrific shooting in #Fredericton this morning. Still waiting on more information. Shooter is in custody. #WeTheNorth,,Fri Aug 10 14:56:08 +0000 2018
CallingUOut7,RT @Jackstar009: #CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two unifo…,#CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two uniformed bodies and one civilian were seen on the ground by this witness. Still very active scene despite one shooter in custody. #Fredericton,Fri Aug 10 14:39:29 +0000 2018
Raised_Right95,"Fredericton shooter has been in custody for 2 hours and no name has been released as of yet. So that eliminates the straight white male shooter, anyone care to guess who it was?",,Fri Aug 10 14:39:22 +0000 2018
moebear,RT @Jackstar009: #CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two unifo…,#CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two uniformed bodies and one civilian were seen on the ground by this witness. Still very active scene despite one shooter in custody. #Fredericton,Fri Aug 10 14:37:29 +0000 2018
ClarksonChuck,Shooter in custody. https://t.co/HrLqRxhr90,,Fri Aug 10 14:26:53 +0000 2018
OrlandoKB1,#Fredericton.  Shooter is in custody,,Fri Aug 10 14:25:45 +0000 2018
ve6dpa,"@PoliceOne  Two Fredricton,NB Police members were killed in a tragic shootimg this morning,  along with 2 civilians.  Shooter is in custody.  God speed too these LEO. Such a sad day.",,Fri Aug 10 14:19:31 +0000 2018
ReginaRed4,RT @Jackstar009: #CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two unifo…,#CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two uniformed bodies and one civilian were seen on the ground by this witness. Still very active scene despite one shooter in custody. #Fredericton,Fri Aug 10 14:18:42 +0000 2018
JoeyLeclerc77,"Was told previously it was a girl shooter, clearer information says girlfriend of shooter in custody.  Shooter still loose.",,Fri Aug 10 13:48:51 +0000 2018
two2midnight,"2 #Fredericton police officers among 4 people killed in shooting, suspect in custody https://t.co/xLg4ngdq8y $20 says the shooter ""mentally ill"" &amp; some leftist feminazi tweeting ""death to white males"".",,Fri Aug 10 13:43:28 +0000 2018
BlueRaveFinn,RT @Jackstar009: #CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two unifo…,#CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two uniformed bodies and one civilian were seen on the ground by this witness. Still very active scene despite one shooter in custody. #Fredericton,Fri Aug 10 13:36:06 +0000 2018
suepeac,RT @Jackstar009: #CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two unifo…,#CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two uniformed bodies and one civilian were seen on the ground by this witness. Still very active scene despite one shooter in custody. #Fredericton,Fri Aug 10 13:32:07 +0000 2018
Jackstar009,#CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two uniformed bodies and one civilian were seen on the ground by this witness. Still very active scene despite one shooter in custody. #Fredericton,,Fri Aug 10 13:28:14 +0000 2018
GinaChungCP24,Police say four people are dead and the shooter is in custody. https://t.co/OGzI4qHJfw,,Fri Aug 10 13:16:59 +0000 2018
christmasali,"@ChrisGloverON 1 shooter in Fredericton in custody, but community still on lockdown. Community trauma due to Moncton shooting of 3 Mounties. And gun lobby and CPC say we don't have a problem! Note how fast our language is changing to US -""lockdown"", ""active shooter"".... https://t.co/MGHFmlwSUs",,Fri Aug 10 13:16:05 +0000 2018
kathleenmartin_,"@erincandy i’m at work, lyla is at daycare we are both a good distance away from the incident and the police have someone in custody so i’m hoping the shooter is not out there anymore",,Fri Aug 10 13:04:37 +0000 2018
TheTripleDeuce,@christinaemoss They have one suspect in custody so hopefully it was the lone shooter,,Fri Aug 10 12:58:40 +0000 2018
babell54,@Arriadna Shooter is in custody!,,Fri Aug 10 12:50:58 +0000 2018
CTVJoelle,"@scottytheriault Police are still on scene and investigating, no word of any alleged shooter in custody as of yet.",,Fri Aug 10 12:20:45 +0000 2018
christmasali,@CGCguncontrol @CZV416 @Polysesouvient @ZeroGunViolence@markhollandlib @RalphGoodale @billblair @pamdamoff CBC now reporting this story and stating four people dead...residents and businesses told to stay inside and lock doors...suggests shooter not in custody... https://t.co/XAs4atkKpO,,Fri Aug 10 12:14:56 +0000 2018
AngelaBrauerTV,"#BREAKING Whiteland PD are investigating a shooting at the Willow Pointe Apts. They say there was likely a party at the location. Police have the shooter in custody, he reportedly used a rifle. Victim is in critical condition. https://t.co/Y5GIekYEtN",,Fri Aug 10 09:16:38 +0000 2018
