ikodu_boie,@thatboi_on_fire @Klannyposts @GeniusJokerNG Tank yu,,Sun Aug 19 08:16:27 +0000 2018
Gear316,"@ryan_in_canada @RanRinBC 🤔That's your insanity working at its finest. Burnaby Fire Department will put a tank fire out on behalf of its residents, regardless of its size",,Wed Aug 15 18:55:39 +0000 2018
EEP_Inc,"Congratulations to Hartselle Fire Department on taking delivery of a new Pierce Enforcer PUC Pumper! This pumper features a 750 gallon water tank, Pierce 1500 GPM pump, Cummins L9... https://t.co/qoi9x5RZ0m",,Wed Aug 15 18:42:03 +0000 2018
GeorgeNelson16,RT @TampaFireRescue: TFR on scene at Murphy Oil USA with the folks from Marathon participating in a tank fire exercise utilizing Marathon’s…,TFR on scene at Murphy Oil USA with the folks from Marathon participating in a tank fire exercise utilizing Marathon’s 4000 GPM foam nozzle and honoring firefighters in a great way with this hat. https://t.co/76tIyuZyCX,Wed Aug 15 18:32:06 +0000 2018
FlameDaddyEnji,"@FrozenRecovery He closed his good eye.

""Set the yard on fire. Accidentally walked too close to a propane tank.  It exploded beside me."" He looked away. ""It's why I didn't chase after you. I had to get the shrapnel cut out.""",,Wed Aug 15 18:29:51 +0000 2018
TampaFireRescue,TFR on scene at Murphy Oil USA with the folks from Marathon participating in a tank fire exercise utilizing Marathon’s 4000 GPM foam nozzle and honoring firefighters in a great way with this hat. https://t.co/76tIyuZyCX,,Wed Aug 15 18:27:25 +0000 2018
SarcasmVevo,"RT @dorothysnarker: Everything is terrible, awful, probably on fire. Here is Mackenzie Davis in her Terminator tank top because you still d…","Everything is terrible, awful, probably on fire. Here is Mackenzie Davis in her Terminator tank top because you still deserve nice things. https://t.co/MTHWjFR6Yi https://t.co/4rmAd6JOH1",Wed Aug 15 17:36:00 +0000 2018
_madisonbarks,"@EuhedralCrystal @AranYaps Well, I mean, at least from what I understand, Hydrogen is actually extremely volatile, and is basically in a perpetual state of wanting to catch on fire and blow up (since the car's hydrogen tank is under pressure)",,Wed Aug 15 17:33:55 +0000 2018
OtherwifeBand,"What’s that you say? Need a new shirt/tank/hoodie with our faces on it? 🔥 Hot fire you’re in luck! 🔥

Our online store is live just in time for the @catalystclub show on Sunday!

https://t.co/cyY8AN6A0F

#followus and dm for the chance to win a FREE shirt/tank/hoodie. https://t.co/BG5f84xyGV",,Wed Aug 15 16:10:41 +0000 2018
big081574,"What do you do when I tap on the tank?
Get some! Get some!
Fire at will!!! https://t.co/5uFx1xxIrK",,Wed Aug 15 14:51:03 +0000 2018
ligerclaw69,"I gotta say I finally found my passion for BF1 in the role of medic &amp; support from getting a couple of kills &amp; doing revives to laying down suppressive fire at that critical moment then rapid repair on a tank, some might like going head on but I love the supporting roles, BF1😍😍",,Wed Aug 15 14:16:54 +0000 2018
JLingardinho,"@karthik_klt @SaffronDalit @itz_katti @thatsTamil @MajorSimhan @kuruviyaar @nbmayuran @VVR_KrishnaN @kalyanbjmm @SuryahSG @narendramodi Equipped with self-sealing fuel tank, fire-fighting system,bullet-proof windows and armour plates on the under body to withstand mines and bombs as well as run on flat tyres.",,Wed Aug 15 13:23:46 +0000 2018
LisaLovecraft,"alex jones gets banned for just a week but when i bombard @newageamazon with pictures of lgbt women in jackets they're - you know what these aren't at all similar, mine's hearthrobs and alex jones is a septic tank on fire with an animatronic Chuckie Cheese thrashing inside",,Wed Aug 15 12:33:33 +0000 2018
imran9697,"RT @DuaFatimaPK: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #پاکستان_پہ_سب_قربان https://t.co/McyJILmRYT",Wed Aug 15 08:13:29 +0000 2018
ArcsTweets,"""Hungarians Retrofit Jet Engine Powered Tank That Puts Out Fires""  😎
https://t.co/ncbvO28fPW https://t.co/bv09AjjxmY",,Wed Aug 15 04:56:50 +0000 2018
MrSmittz,Got enough gas in the tank to set the world on fire🎶🎶,,Wed Aug 15 03:56:01 +0000 2018
KBowen21,"@edeven23 A young 31 with a lot left in that tank.. always the most fire, passion and heart on the court.  Keep grinding🍊🏀",,Wed Aug 15 03:36:29 +0000 2018
Leaf_cos,"I'm at the gym watching the worlds strongest man competition and I straight up saw this tank mf deadlift 770lb on each side wtf
Throw me into the fire you strong mother fucker
Mateusze or smth prom Poland 
Jfc
I'm gay guys",,Wed Aug 15 02:20:03 +0000 2018
KingdomofNoise,I wore a t-shirt to work last night for the first time in months. (Instead of a muscle shirt/tank top) It was a mistake. My armpits were/are on fire!,,Wed Aug 15 01:46:40 +0000 2018
SoozyQRLM,"@Notorious_SIC @unfairunbalancd @realDonaldTrump July 1967 a fire broke out on the USS Forrestal. An electrical anomaly caused a Zuni rocket  to fire which struck a fuel tank  The jet fuel spilled across the flight deck, ignited, and triggered a chain-reaction of explosions that killed 134 sailors.",,Wed Aug 15 01:27:58 +0000 2018
BaDuncaDunc,RT @tacobelle20: My place of work is a well oiled machine except it's a 4-stroke and someone dumped all the oil in the gas tank and also it…,My place of work is a well oiled machine except it's a 4-stroke and someone dumped all the oil in the gas tank and also it's on fire,Wed Aug 15 01:21:24 +0000 2018
kxtelxn,that shits so messy im gonna set the wheels of a tank on fire and run myself over,,Wed Aug 15 01:11:09 +0000 2018
stephsthighs,"as an ow flex player, i barely had time to perfect my main, Mccree, bc i wanted so badly to be a good support/tank if need be. i thought i was losing my touch w/that funky cowboy. BUT NAY. i was on fire the entire match, 4 gold medals, 37% w/a. 35 elims AND-",,Wed Aug 15 00:37:15 +0000 2018
Lacka_Firewire,"Justus- Station 28, Ladder 4, Tanker 36, Engine 36, Engine 22- Dragon Lane, House on fire, report of gas tank explosion on premises @ 19:21 LCFW13",,Tue Aug 14 23:21:17 +0000 2018
melissa_nicole8,Ashlie just caught her drip tank on fire. And just casually blows it out 🙃🙃🙃. The vape and her are fine. 😂😂,,Tue Aug 14 22:00:40 +0000 2018
AndrewJacksonZA,@Its_just_Tank @UFDisciple What's the deal with the lighter next to the twinsavers? Is Brett setting tissues on fire to track the smoke through cards' cooling systems to analyse airflow? Is he dreaming up a way to get more YouTube views?,,Tue Aug 14 21:03:36 +0000 2018
SuitsAndBootsCA,"""The fire-which is the biggest threat from our perspective-there's potential due to the dry conditions that there could be embers that leap onto clothing &amp; materials around the fire, or the bush on the south side or the tank farm...the threat is real""
#bcpoli #cdnpoli #abpoli https://t.co/IymjETl4Ov",,Tue Aug 14 20:45:42 +0000 2018
katelynnj96,RT @tacobelle20: My place of work is a well oiled machine except it's a 4-stroke and someone dumped all the oil in the gas tank and also it…,My place of work is a well oiled machine except it's a 4-stroke and someone dumped all the oil in the gas tank and also it's on fire,Tue Aug 14 20:21:28 +0000 2018
Soapy_Wit_Tank,"RT @twitmericks: A parrot that's able to speak
Three languages opened its beak
And cursed a fire crew
In language most blue
And more Anglo-…","A parrot that's able to speak
Three languages opened its beak
And cursed a fire crew
In language most blue
And more Anglo-Saxon than Greek.

https://t.co/kUvDkp0WOV",Tue Aug 14 20:15:16 +0000 2018
StrategEU,"@nicholadrummond I agree on your remarks on see first, decide first and act first. But for both the still useful main battle tank as a medium tank/fire support vehicle (120mm like Stryker MGS turret on a german Puma vehicle?!) I would choose tracks, not wheels for using landscape+build areas max.",,Tue Aug 14 19:10:04 +0000 2018
Prophet_On_Fire,"@Mirnic9801 But now I can:
Revive
Repair
Resupply
Fortify, better and faster
Anti Tank
Flares
And
Big ol Box Mags lol",,Tue Aug 14 18:36:11 +0000 2018
sam_da_tank,"RT @CoachJimmyJam: The Entire Country: CALIFORNIA IS ON FIRE AGAIN! THIS IS A DISASTER! ITS THE END OF THE WORLD! 

Californians: it just b…","The Entire Country: CALIFORNIA IS ON FIRE AGAIN! THIS IS A DISASTER! ITS THE END OF THE WORLD! 

Californians: it just be like that sometimes",Tue Aug 14 18:08:27 +0000 2018
Truth2Pwer,"@Qunfuz1 @lWasBornTwice Oops! you're correct. My mistake.  I guess I was conflating that artillery killing with tank fire barrages point blank on Bab al-Sebaa, Bab al-Amr... Still morning here, and coffee is brewing. Caffeine not in system; after awhile it all seems one stream of evil.",,Tue Aug 14 18:02:00 +0000 2018
HieronimusHendy,RT @crypto_phoenix_: $btc after playing liquidation game ..... $btc ultimately tank down......15 august expiration of contract....soon $btc…,$btc after playing liquidation game ..... $btc ultimately tank down......15 august expiration of contract....soon $btc will be on fire 💰💰 https://t.co/Sfbb6IcEgz,Tue Aug 14 17:58:04 +0000 2018
75Engine,@RevWilbertAwdry @TheLocoLover Or Just Put It On Display At A Random Place(But Only The American People Want The Logging Locos And Fire Stations Want The Tank Engine With Cannons And The Fire Rail Engine),,Tue Aug 14 17:29:38 +0000 2018
TiffanyElora,"RT @Dalessandro4AZ: Bipartisan Arizona ""think tank"" is a clear voice about important issues such as education, health care &amp; the budget.  A…","Bipartisan Arizona ""think tank"" is a clear voice about important issues such as education, health care &amp; the budget.  After they issued a comprehensive report on problems with many charter schools, they were criticized and here is their response. https://t.co/72uL59iZmP",Tue Aug 14 17:00:19 +0000 2018
tacobelle20,My place of work is a well oiled machine except it's a 4-stroke and someone dumped all the oil in the gas tank and also it's on fire,,Tue Aug 14 15:59:38 +0000 2018
KateRothwell,"I never understood how this could be seen as pro-Trump. The man is shown as a force of total and random destruction. He's looking forward to a good wank-session, turned on by standing on a tank with his name and setting the world on fire. https://t.co/D7idzcnESJ",,Tue Aug 14 15:57:36 +0000 2018
rahulcool3187,I liked a @YouTube video https://t.co/kAM2hywGK0 RC HORRIBLE FIRE ACCIDENT🔥RC TANK TRUCK ON FIRE🔥RC LIVE ACTION CRASH! HUGE,,Tue Aug 14 15:25:27 +0000 2018
KateRothwell,@BumpinGemz @MEBerumen @pacelattin @MaryFabulous3 @realDonaldTrump I never understood how this could be seen as pro-Trump. The man is shown as a force of random horrendous destruction who is shown setting the world on fire so he can get a good wank-session out of standing on a tank with his name.,,Tue Aug 14 15:20:27 +0000 2018
Westpoi24838951,"99 year old man wearing a poppy with pride,telling how his tank was hit, he was the only one alive all the other crew were dead, the shell blew his left arm off,his clothes were on fire,he picked up his left arm and climbed out of a burning tank,May wants to give us up, Never🇬🇧 https://t.co/55MtyXLxBO",,Tue Aug 14 15:12:21 +0000 2018
ArmyComplex,"Soldiers fire an M1A2 Abrams tank main battle gun during a live-fire exercise on range 11 as part of Noble Partner 18 at the Vaziani Training Area, Georgia, Aug. 2, 2018 [2400x1600] - #army #military https://t.co/4ShwvRZKsJ",,Tue Aug 14 14:34:04 +0000 2018
Dalessandro4AZ,"Bipartisan Arizona ""think tank"" is a clear voice about important issues such as education, health care &amp; the budget.  After they issued a comprehensive report on problems with many charter schools, they were criticized and here is their response. https://t.co/72uL59iZmP",,Tue Aug 14 13:43:38 +0000 2018
yaraltaria,"Ich werde in comp Games immer in die Lage versetzt, Reinhardt statt https://t.co/8CFTHTvYRz spielen zu müssen wenn ich als Tank queue, ich will das doch gar nicht (gerade permanent on fire tho)",,Tue Aug 14 12:50:19 +0000 2018
000_nico_000,@RachelBee143 I have a tank top with an elastic bralette on that I want to catch on fire. 🙃🙃🙃,,Tue Aug 14 12:50:15 +0000 2018
AliMurt38864265,"RT @DuaFatimaPK: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #پاکستان_پہ_سب_قربان https://t.co/McyJILmRYT",Tue Aug 14 12:24:59 +0000 2018
cryptoholic11,RT @crypto_phoenix_: $btc after playing liquidation game ..... $btc ultimately tank down......15 august expiration of contract....soon $btc…,$btc after playing liquidation game ..... $btc ultimately tank down......15 august expiration of contract....soon $btc will be on fire 💰💰 https://t.co/Sfbb6IcEgz,Tue Aug 14 12:18:28 +0000 2018
crypto_phoenix_,$btc after playing liquidation game ..... $btc ultimately tank down......15 august expiration of contract....soon $btc will be on fire 💰💰 https://t.co/Sfbb6IcEgz,,Tue Aug 14 12:18:13 +0000 2018
makram3050,"RT @DuaFatimaPK: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #پاکستان_پہ_سب_قربان https://t.co/McyJILmRYT",Tue Aug 14 12:07:36 +0000 2018
ntheis56,"RT @OutdoorRooms: Your LP tank may not scream ""stylish"", but we've got you covered. The sliding door on our Edison fire pit table offers ea…","Your LP tank may not scream ""stylish"", but we've got you covered. The sliding door on our Edison fire pit table offers easy access to the tank yet conceals it during use! https://t.co/o7oUQDQLdO https://t.co/wq9svJDJ2s",Tue Aug 14 11:47:33 +0000 2018
elixir9,"RT @DuaFatimaPK: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #پاکستان_پہ_سب_قربان https://t.co/McyJILmRYT",Tue Aug 14 11:42:24 +0000 2018
TWestman59,"RT @OutdoorRooms: Your LP tank may not scream ""stylish"", but we've got you covered. The sliding door on our Edison fire pit table offers ea…","Your LP tank may not scream ""stylish"", but we've got you covered. The sliding door on our Edison fire pit table offers easy access to the tank yet conceals it during use! https://t.co/o7oUQDQLdO https://t.co/wq9svJDJ2s",Tue Aug 14 11:08:59 +0000 2018
