jijujosephm,RT @scroll_in: A look at the headlines right now. https://t.co/e5u5PYRomd,A look at the headlines right now. https://t.co/e5u5PYRomd,Sat Aug 18 16:58:26 +0000 2018
rudipitt,"RT @DeadarticGames: PlayStation Plus - July 2018 | Absolver + Heavy Rain | PS Plus Monthly Games
https://t.co/80lz9urN6A #PlayStationPlus #…","PlayStation Plus - July 2018 | Absolver + Heavy Rain | PS Plus Monthly Games
https://t.co/80lz9urN6A #PlayStationPlus #Absolver #HeavyRain #PlayStation4 #Ps4Pro #Ps4 #PlayStation #Sony #deadarticgames",Sat Aug 18 16:37:55 +0000 2018
skydivehawaii,"We invite the world to come up and fly with our tandem skydiving instructors.  Open daily, restrictions apply, weather dependent.

Saturday - Scattered showers. The rain could be heavy at times. Partly sunny,... https://t.co/yruvTVcJ3L",,Sat Aug 18 16:37:45 +0000 2018
SATISH553,"Some districts of Karnataka also Effected by Heavy rains, especially Beautiful #Kodagu lost It's All due to Heavy Rain...
@PMOIndia @narendramodi https://t.co/iMaHODf9LB",,Sat Aug 18 16:37:45 +0000 2018
TrafficPE,@TrafficPE Charlottetown ByPass is fast becoming flooded under Norwood Road bridge. Very dangerous. #heavy_rain #flooding #pei #slowdown (via @Teresa_MacLean),,Sat Aug 18 16:37:38 +0000 2018
jannypanties,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:37:33 +0000 2018
TapanKumar6,RT @narendrkumar79: This is what happens to the rivers when the forests are cut https://t.co/lpWVFyhG5S you know why all the rivers are ove…,This is what happens to the rivers when the forests are cut https://t.co/lpWVFyhG5S you know why all the rivers are overflowing. It not the heavy rain that is the sole reason. Nice and simple video on ecology. #waterfall #coastal #soil #oceans #SundayMotivation https://t.co/H83TpZkCEs,Sat Aug 18 16:37:08 +0000 2018
pinktangerine24,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:36:57 +0000 2018
sreejithmoolayl,"First prince of #UAE and now #Liverpool , #Barcelona express solidarity with the flood-affected , #malayalees are real global citizens https://t.co/hXhgvWZ2HB",,Sat Aug 18 16:36:20 +0000 2018
DannySousa401,RT @NWSBoston: Increasing risk for a few strong #thunderstorms this afternoon across #MA #CT #RI. Strong winds and locally heavy rain/flood…,Increasing risk for a few strong #thunderstorms this afternoon across #MA #CT #RI. Strong winds and locally heavy rain/flooding are the main concerns. Keep an eye to the sky. https://t.co/hnNBMJkV0q,Sat Aug 18 16:36:09 +0000 2018
Adwaith05065405,"@TamimBinHamad
#standwithkerala #SupportKerala #KerlaFloods #HelpKerala #floods
The condition in kerala is very bad
Many people are home less...
Heavy rain and floods have submerged main cities of kerala..
#HelpKerala",,Sat Aug 18 16:35:55 +0000 2018
meghna_francis,"RT @WIONews: The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said…","The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said on Friday, with the toll expected to rise as heavy rain pushes water levels higher still. #KeralaFloods

https://t.co/NOTLcfqkIT",Sat Aug 18 16:35:53 +0000 2018
Annabrayyy,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:35:51 +0000 2018
UK_WeatherNotes,"RT @metoffice: The remnants of Tropical Storm #Ernesto will bring strong #winds through the Irish Sea tonight, and some heavy #rain in plac…","The remnants of Tropical Storm #Ernesto will bring strong #winds through the Irish Sea tonight, and some heavy #rain in places too https://t.co/UzvshF7lTb",Sat Aug 18 16:35:39 +0000 2018
silentseawolf,RT @WeatherNation: WHAT WE'RE WATCHING: A storm system building east this weekend will up rain and severe weather chances across the south.…,"WHAT WE'RE WATCHING: A storm system building east this weekend will up rain and severe weather chances across the south. Plus, it will bring heavy rain back to the northeast next week. Details on @WeatherNation. https://t.co/ZGQY4mu2fH",Sat Aug 18 16:35:38 +0000 2018
WeatherNation,"WHAT WE'RE WATCHING: A storm system building east this weekend will up rain and severe weather chances across the south. Plus, it will bring heavy rain back to the northeast next week. Details on @WeatherNation. https://t.co/ZGQY4mu2fH",,Sat Aug 18 16:35:11 +0000 2018
coupsforthought,"RT @Btsfan1234567: @BTS_twt BTS and Armys , I know this is out of topic but please pray for the people in Kerala , India . Due to heavy rai…","@BTS_twt BTS and Armys , I know this is out of topic but please pray for the people in Kerala , India . Due to heavy rain and flood a lot of people lost their home and their lives . Let’s all pray together for all those in danger. Army’s who saw this comment pls share and pray for us 😢 https://t.co/2LoYGy6DtG",Sat Aug 18 16:35:07 +0000 2018
JohnGibbinsSDUT,"RT @NWSSanDiego: #Thunderstorm with very heavy rain over Mount Laguna, as seen from the NWS office in Rancho Bernardo.  2.66"" of rain fell…","#Thunderstorm with very heavy rain over Mount Laguna, as seen from the NWS office in Rancho Bernardo.  2.66"" of rain fell in the past hour at Mount Laguna according to a rain gauge!  Flash flood warning continues through 1015 PM for southeastern San Diego County.  #cawx https://t.co/zSlybvAG8y",Sat Aug 18 16:35:00 +0000 2018
JosephSherry1,"RT @MetEireann: 2/2  Wet tonight with rain widespread for a time, with heavy falls in some central &amp; N areas.  Most of the rain will clear…","2/2  Wet tonight with rain widespread for a time, with heavy falls in some central &amp; N areas.  Most of the rain will clear Ewards overnight, leaving sctd patches of rain/drzl. Lows 15 to 17. Fresh/strong &amp; gusty S to SW winds over S half of the country will ease as rain clears",Sat Aug 18 16:34:58 +0000 2018
madhyamam,"#KeralaSOS, #KeralaFloods റോഡുകൾ നന്നാക്കാൻ മാസങ്ങൾ വേണമെന്ന്​ പൊതുമരാമത്ത്​ വകുപ്പ്​ https://t.co/rckYZESUlW",,Sat Aug 18 16:34:42 +0000 2018
drmgnt,RT @SCRailwayIndia: Train No.17229 Trivandrum Central-Hyderabad Sabari Exp scheduled to depart Trivandrum Central on 19.08.2018 IS PARTIALL…,Train No.17229 Trivandrum Central-Hyderabad Sabari Exp scheduled to depart Trivandrum Central on 19.08.2018 IS PARTIALLY CANCELLED btwn Trivandrum Central-Tirupati. Train will start from Tirupati. DUE TO HEAVY RAIN AND BREACHES. @RailMinIndia @drmgtl @drmgnt,Sat Aug 18 16:34:07 +0000 2018
Saqibanwarulhaq,"Tiruvanntpuram: With 324 dead and more than three lakh people in relief camps in Kerala after floods and landslides due to heavy rain, the worse is not yet over for the state. Chengannur,about120Thiruvanthapuram, has been cut off for days
declare Kerala Floods #NationalDisaster",,Sat Aug 18 16:34:07 +0000 2018
MisterZinOKC,RT @NWSNorman: Widely scattered thunderstorms are possible this morning and afternoon across western Oklahoma &amp; western north Texas. Howeve…,"Widely scattered thunderstorms are possible this morning and afternoon across western Oklahoma &amp; western north Texas. However, much better rain chances arrive this evening and overnight.  Locally heavy rainfall is possible. #okwx #txwx https://t.co/RNTzieY0CN",Sat Aug 18 16:34:06 +0000 2018
NormDaGod,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:34:00 +0000 2018
msceejay517,"Heavy rain, storms to pummel central US into Monday: https://t.co/xKL0xFuIf6 via @AOL",,Sat Aug 18 16:33:48 +0000 2018
tynesucks,RT @maakaahlaa: bitch im ready for loud ass thunderstorms heavy ass rain. gloomy &amp; dark skies. ⛈,bitch im ready for loud ass thunderstorms heavy ass rain. gloomy &amp; dark skies. ⛈,Sat Aug 18 16:33:33 +0000 2018
mymaritzabby,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:32:59 +0000 2018
avistwiter,"RT @PIB_India: #EveningWeatherUpdate: Heavy rain at isolated places in Himachal
Pradesh, East Rajasthan, Gujarat region, south Konkan &amp; Goa…","#EveningWeatherUpdate: Heavy rain at isolated places in Himachal
Pradesh, East Rajasthan, Gujarat region, south Konkan &amp; Goa, Madhya Maharashtra, Vidarbha, Chhattisgarh, Maharashtra, Vidarbha, Chhattisgarh, @Indiametdept https://t.co/CbCAd7FiM1",Sat Aug 18 16:32:45 +0000 2018
LexMAWeather,RT @NWSBoston: Increasing risk for a few strong #thunderstorms this afternoon across #MA #CT #RI. Strong winds and locally heavy rain/flood…,Increasing risk for a few strong #thunderstorms this afternoon across #MA #CT #RI. Strong winds and locally heavy rain/flooding are the main concerns. Keep an eye to the sky. https://t.co/hnNBMJkV0q,Sat Aug 18 16:32:10 +0000 2018
gulfkannadiga,"RT @BangaloreMirror: #KarnatakaFloods; CM @hd_kumaraswamy reviews situation in the State.
LIVE updates: https://t.co/QD2qvkqkTO https://t.c…","#KarnatakaFloods; CM @hd_kumaraswamy reviews situation in the State.
LIVE updates: https://t.co/QD2qvkqkTO https://t.co/e63VLvZZxx",Sat Aug 18 16:32:09 +0000 2018
angelodesogus,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:32:07 +0000 2018
Murph3_0,RT @fredcityandy: Marching in a procession to honour a fallen police officer would be difficult. Doing it in heavy rain wouldn’t make it ea…,"Marching in a procession to honour a fallen police officer would be difficult. Doing it in heavy rain wouldn’t make it easier. I have incredible respect for those who’ll do that today.
#FrederictonStrong",Sat Aug 18 16:31:57 +0000 2018
SaleskaG,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:31:48 +0000 2018
SeeJay_DZ,RT @NWSBoston: Increasing risk for a few strong #thunderstorms this afternoon across #MA #CT #RI. Strong winds and locally heavy rain/flood…,Increasing risk for a few strong #thunderstorms this afternoon across #MA #CT #RI. Strong winds and locally heavy rain/flooding are the main concerns. Keep an eye to the sky. https://t.co/hnNBMJkV0q,Sat Aug 18 16:31:43 +0000 2018
CreativeHelpin,Karnataka: Heavy rain continues to lash Kodagu - https://t.co/WEdwv52Itb https://t.co/kmfIBdQLYh,,Sat Aug 18 16:31:34 +0000 2018
newsiuk,भारी वर्षा एवं बाढ़ से प्रभावित केरल को उत्तराखण्ड देगा 5 करोड़ का आर्थिक सहयोगः मुख्यमंत्री https://t.co/rNr9MwZoJK https://t.co/AS6OenHlON,,Sat Aug 18 16:31:28 +0000 2018
LakshmiAjay1,"RT @MumbaiMirror: #KeralaFloods | @AamAadmiParty MLAs, MPs and ministers will donate one month salary for Kerala: Delhi CM @ArvindKejriwal…","#KeralaFloods | @AamAadmiParty MLAs, MPs and ministers will donate one month salary for Kerala: Delhi CM @ArvindKejriwal 
LIVE updates: https://t.co/tqeZTxKNp7 https://t.co/q3tth2DZUE",Sat Aug 18 16:31:26 +0000 2018
wa1gov,"#HamRadio #APRS MSG from WXBOT Taunton MA. Hazardous Weather Outlook, This Afternoon,Heavy Rain 60% High 85 https://t.co/qwukGZmwHC https://t.co/Moe3wtKAuM",,Sat Aug 18 16:31:11 +0000 2018
BOConnorWriter,"""Late August, given heavy rain and sun.
For a full week, the blackberries would ripen...."".
Seamus Heaney.

Blackberries, Dalgan Park, Meath. https://t.co/3QFtv05zD5",,Sat Aug 18 16:31:03 +0000 2018
rudipitt,"RT @DeadarticGames: Detroit: Become Human Digital Deluxe Edition - Get Heavy Rain Instantly | PS4
https://t.co/FPmJtw8rtA #DetroitBecomeHum…","Detroit: Become Human Digital Deluxe Edition - Get Heavy Rain Instantly | PS4
https://t.co/FPmJtw8rtA #DetroitBecomeHuman #HeavyRain #QuanticDream #Ps4Pro #Ps4 #PlayStation #Sony #deadarticgames",Sat Aug 18 16:31:03 +0000 2018
shaniseoceros,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:31:01 +0000 2018
vinny4415,"RT @HeaneyDaily: Late August, given heavy rain and sun
For a full week, the blackberries would ripen.
At first, just one, a glossy purple c…","Late August, given heavy rain and sun
For a full week, the blackberries would ripen.
At first, just one, a glossy purple clot. . .
Like thickened wine: summer’s blood was in it",Sat Aug 18 16:30:26 +0000 2018
your24yroldboss,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:30:19 +0000 2018
Every5thDay,Toronto residents checking out Walmart for supplies before the next heavy rain storm. #ONstorm https://t.co/xCFbHtPezV,,Sat Aug 18 16:30:12 +0000 2018
0kernel,"@0kernel Weather: AM Thunderstorms https://t.co/KNJIKm0Gch 34 August 19, 2018 https://t.co/kDNwdcslNM",,Sat Aug 18 16:30:04 +0000 2018
jpepgolf,Bunker turned water hazard after today’s heavy rain https://t.co/NSadVX6RYF,,Sat Aug 18 16:29:59 +0000 2018
asktja,"RT @Abdool85: All politics is local 
Despite the heavy rain , the people of Soba Local Government came out en masse to welcome Governor @el…","All politics is local 
Despite the heavy rain , the people of Soba Local Government came out en masse to welcome Governor @elrufai who is on appreciation tour round the one 23 local governments https://t.co/n86KrsiMJt",Sat Aug 18 16:29:50 +0000 2018
Baqota,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:29:37 +0000 2018
gilsimmons,RT @NWSBoston: Increasing risk for a few strong #thunderstorms this afternoon across #MA #CT #RI. Strong winds and locally heavy rain/flood…,Increasing risk for a few strong #thunderstorms this afternoon across #MA #CT #RI. Strong winds and locally heavy rain/flooding are the main concerns. Keep an eye to the sky. https://t.co/hnNBMJkV0q,Sat Aug 18 16:29:30 +0000 2018
ndtippeswamyvk,ಮರವಂತೆಯಲ್ಲಿ ಮನೆಗಳಿಗೆ ನುಗ್ಗಿದ ನೆರೆ ನೀರು -Vijaya Karnataka https://t.co/IeSpBcB0GU via @Vijaya Karnataka,,Sat Aug 18 16:28:46 +0000 2018
OAK77uk,"RT @SkyNewsWeather: Prolonged heavy rain C&amp;S Scotland,N England and Wales largely clearing during the morning, but drizzly outbreaks and hi…","Prolonged heavy rain C&amp;S Scotland,N England and Wales largely clearing during the morning, but drizzly outbreaks and hill fog lingering over N&amp;C England and Wales into the afternoon, Winds in SW easing later. Quite warm for most, cooler over Scotland. https://t.co/n13F6e5GYe",Sat Aug 18 16:28:22 +0000 2018
MR_kill_117,I liked a @YouTube video https://t.co/esxPhVG07R Heavy Rain Episode 1 Live!,,Sat Aug 18 16:28:15 +0000 2018
Alice_Insanity7,I liked a @YouTube video https://t.co/TeEDYcwjuW Heavy Rain Gameplay Lets Play - Part 1 [Playthrough / Walkthrough],,Sat Aug 18 16:28:11 +0000 2018
Padmaku54969669,RT @harikvijay: Kerala under heavy rain and flood. Please pray for us,Kerala under heavy rain and flood. Please pray for us,Sat Aug 18 16:28:03 +0000 2018
bellagxc,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:27:39 +0000 2018
chayneswx,"If you have any outdoor activities or after school practices on Monday afternoon, go ahead and plan on a pretty wet session. Rain is looking increasingly likely &amp; some could be moderate to heavy at times. Some folks will be looking at 1""+ amounts.
#QCwx #Iawx #ILwx https://t.co/ap1vkerhL3",,Sat Aug 18 16:27:23 +0000 2018
afterwits,"like no....i wanna play a crime solve-y drama without having to play heavy rain or something, goddamn just give me these games instead of ""we have no plans to localize this title""",,Sat Aug 18 16:27:23 +0000 2018
