_deefanning,Anyone else having service interruption @rte #GALvLIM,,Sun Aug 19 14:50:14 +0000 2018
TCAuditor,"In 2 weeks, vehicle &amp; vessel licensing services across the state will be unavailable for four days while the Department of Licensing replaces its database. Our friends @PierceCountyAud made this great video w/ key info about the service interruption: https://t.co/WDmhi9Ftfp https://t.co/NHQd2TU0kx",,Fri Aug 17 23:17:04 +0000 2018
LangleyCity_,Water Service Interruption: 5332-5424 207 Street. A planned water shutdown will take place on Monday August 20 between 8:00am and 4:00pm to accommodate a water main tie-in. #LangleyCity ^DS,,Fri Aug 17 23:00:23 +0000 2018
comcastcares,"@Piatkowskeed Thank you for reaching out to us, I see that you are experiencing a service interruption. I would be happy to assist. Can you provide your full name phone number and complete service address? -Chuck",,Fri Aug 17 22:52:22 +0000 2018
RitaCla74400841,"@MediacomSupport Thanks for your response. It's all good. No interruption in service...interruption in programming. This IS Live PD, after all. 😊Just wish weather could scroll on bottom of screen. I hate missing the action. Hope that doesn't seem insensitive. But...... this IS #LivePD 🤪",,Fri Aug 17 22:46:41 +0000 2018
el_nene_franco,"Just talk to your CS, service interruption can last 12 hours.  Seriously 😳!",,Fri Aug 17 22:40:47 +0000 2018
jva4,@ComcastIN is there currently a service interruption in Indianapolis? We are at zip code 46280 and we are not getting any service,,Fri Aug 17 22:29:00 +0000 2018
a2hosting_alert,New Issue (Managed SolusVM Master): https://t.co/4z4W8VKAkH :: Service Interruption,,Fri Aug 17 22:22:03 +0000 2018
kadesadrine,@seukepdevalois @CRTV_web Cette usine redémarrera proprement après la mise en service des barrages de Memvelé car ce barrage permettra d’alimenter cette usine pour un fonctionnement sans interruption. #cameroononeandindivisible #stopambazonia,,Fri Aug 17 21:24:56 +0000 2018
comcastcares,"@catmomkathy I can understand your frustration and will like to get more information on your service interruption. Can you send me a DM with your first and last name, the name on the account (if different) and phone number, please? -Josh",,Fri Aug 17 21:19:44 +0000 2018
phredmoyer,"@KPMemberService Just dm'd email. In my doctor online, reply to a message with an attachment and message. It says service interruption.",,Fri Aug 17 20:44:45 +0000 2018
Telstra,"@kazza264 Hi Kazza, sorry to hear that your mobile service is affected by a network interruption. This looks to now be listed: https://t.co/d9S3XqEV3Q

Once an estimated restore time is known, this will update on the outage tool. I apologise for the inconvenience -Ivan",,Fri Aug 17 20:43:57 +0000 2018
martahari,"RT @dotBen: As a VC I love it when VC's pay for my free shit. Sadly it looks like no longer...

https://t.co/o4GBZCQTM7 https://t.co/x9xPwu…","As a VC I love it when VC's pay for my free shit. Sadly it looks like no longer...

https://t.co/o4GBZCQTM7 https://t.co/x9xPwuBDu6",Fri Aug 17 20:32:16 +0000 2018
hopsandhoops,Normal service is resumed after a cocktail-based interruption... @wylambrewery x Braw What’s the Sense in Sharing dry hopped grisette https://t.co/9NVHzPwKSV,,Fri Aug 17 20:19:11 +0000 2018
Hariba_sona,"@VodafoneIN @TRAI
Since 5 weeks I am unable to enjoy your service , call interruption and lowest internet speed. We almost 1000 engineers using mostly Vodafone , I have raised this issue many times via email. Please look into it else you will loose many Vodafone users.",,Fri Aug 17 18:55:54 +0000 2018
nativist,look @att service interruption again.   thats abusive. you need to give credits out to all your customers or get fined. https://t.co/Ja6BIBUtzv,,Fri Aug 17 18:53:26 +0000 2018
MarieJo_R,"#RERB : La régénération du pont situé sur l'avenue de la gare de #Massy-#Verrières, nécessite une interruption des circulations entre Les #Baconnets (à #Antony) et #Massy-#Palaiseau du 1er au 4 novembre.
Un service de bus dédié sera mis en place (temps de trajet 35 minutes). https://t.co/7eVR5b3des",,Fri Aug 17 18:48:15 +0000 2018
LangleyTownship,"Temporary Water Service Interruption: 92A Avenue, West of 202 Street, August 17. Read more: https://t.co/enZqZaPyOl",,Fri Aug 17 18:46:36 +0000 2018
WaterUtilityMgt,"#Alford There is a service interruption in this area until 6:00 p.m. due to a emergency main repair. Sorry for the inconvenience, Thank You for Your Patience!",,Fri Aug 17 18:41:24 +0000 2018
a2hosting_alert,Resolved: [RESOLVED]https://t.co/tJHvlQfiE8 : Service Interruption,,Fri Aug 17 18:11:02 +0000 2018
dep_yoann,Prise en charge par amazon elasticsearch service des mises à niveau de version en place sans interruption - https://t.co/CCSVDRCq1a #bigdata,,Fri Aug 17 17:43:28 +0000 2018
MediacomSupport,"@geekyGinger84 Hello Jenny, we apologize for the service interruption, if you are still experiencing issues with your services, please send us a DM with your current account number or street address with zip code and we can go from there. Thank you. *GG",,Fri Aug 17 17:34:52 +0000 2018
ReddyWayne,"RT @ChartresTrafic: [TRAVAUX]

Dimanche 19/08, travaux de remise en service du poste de signalisation à St Cyr. 

Interruption totale de ci…","[TRAVAUX]

Dimanche 19/08, travaux de remise en service du poste de signalisation à St Cyr. 

Interruption totale de circulation de 0h à 13h. Aucun train TER ne circulera entre Paris-Montparnasse et Rambouillet.

⬇️Ci-dessous, les TER modifiés ou supprimés https://t.co/OMLNcmPoXQ",Fri Aug 17 17:31:47 +0000 2018
a2hosting_alert,Update: https://t.co/tJHvlQfiE8 : Service Interruption,,Fri Aug 17 17:26:19 +0000 2018
a2hosting_alert,New Issue (wwwnlsrc4): https://t.co/O9PHqtTsD1 : Service Interruption,,Fri Aug 17 17:25:51 +0000 2018
ChartresTrafic,"RT @ChartresTrafic: [TRAVAUX]

Dimanche 19/08, travaux de remise en service du poste de signalisation à St Cyr. 

Interruption totale de ci…","[TRAVAUX]

Dimanche 19/08, travaux de remise en service du poste de signalisation à St Cyr. 

Interruption totale de circulation de 0h à 13h. Aucun train TER ne circulera entre Paris-Montparnasse et Rambouillet.

⬇️Ci-dessous, les TER modifiés ou supprimés https://t.co/OMLNcmPoXQ",Fri Aug 17 17:25:45 +0000 2018
ps,"Campus phones are experiencing a system-wide service interruption. This potentially affects all campuses and all campus phones for incoming, outgoing and internal calls. We're working on the issue -- send us a message if you need help with anything!",,Fri Aug 17 17:23:57 +0000 2018
WNStatus,"[status] Scheduled (Sep 6, 2018, 23:00 CDT): Notification of a planned event affecting your organization:

Spectrum will be conducting software upgrades in Morgantown, NC that will cause up to a 30 minute interruption in service for affected members bet… https://t.co/hJVtuEJ28P",,Fri Aug 17 17:08:48 +0000 2018
comcastcares,"@tiffanywaters Thanks for reaching out about the service interruption; I can definitely check on this. Can you DM your name, the name on the account, and the phone or account number? -GT",,Fri Aug 17 16:47:52 +0000 2018
ATTCares,"@miquelaaaaa_mae Currently we do not report any service interruption in the area. Check out this link: https://t.co/fzxNC4yl8o to troubleshoot your device, let us know how it goes. ^AlemV",,Fri Aug 17 16:43:33 +0000 2018
SBallistics,We will be leaving shopify shortly. We apologize for any interruption of service.,,Fri Aug 17 16:39:27 +0000 2018
ShopifySupport,We‘re no longer experiencing the interruption in service causing storefronts and admin to load slowly. We thank you for your patience. DM us if you have any questions!,,Fri Aug 17 16:30:48 +0000 2018
comcastcares,"@amarco16 Thank you for reaching out via Twitter. Can I please get you to DM me your full name, address and phone number of the person I am chatting with today? Then, I can look into your service interruption. -CQ",,Fri Aug 17 16:00:27 +0000 2018
ATTCares,"@Rockdogg Report any service interruption here https://t.co/oLs7uxiOCz Also send us your account number, primary phone number, zip code and service types(s) so we can take a deeper look. ^Que.P",,Fri Aug 17 15:20:22 +0000 2018
LiveSmart,@danlol29 Hi @danlol29. We've checked that there's a noted service interruption in your area. Our engineers are working double-time to normalize the service. We sincerely apologize for the inconvenience. Please bear with us with this temporary activity. Thank you.,,Fri Aug 17 15:14:29 +0000 2018
HernandoClerkDB,Do to a service interruption the county phones are temporarily unavailable.,,Fri Aug 17 15:12:02 +0000 2018
afreen_y,@ACTFibernet Pathetic! There was a interruption of internet from yesterday. 2 days and yet no resolution. Really poor service! All i get to hear is wait till tomorrow and who is going to be accountable for the loss of work of 2 days?Calls from registered numbers are not answered.,,Fri Aug 17 15:09:42 +0000 2018
BlueH2OPOOLSPA,"We are currently experiencing phone service interruption. This is a Spectrum issue. Please email michelle@bluewaterpooloki.com, call or text the after hours emergency number 910-515-8267 for all inquiries until further notice.",,Fri Aug 17 14:58:12 +0000 2018
ici_cote_nord,Pas d'interruption de service en anesthésiologie à Sept-Îles en août https://t.co/r7wYoe1uYK https://t.co/VkZsJefSBE,,Fri Aug 17 14:33:05 +0000 2018
CQCumberbot,"But thankfully, Deepsea Metro service has continued without interruption.",,Fri Aug 17 13:18:43 +0000 2018
Ask_Spectrum,"@rljacksonwrites My apologies for the service interruption you’re experiencing.  Please follow/DM your service phone number, full service address or account number and I would be happy to look into this for you. ^JK",,Fri Aug 17 13:06:19 +0000 2018
OVH_Status,"Network:: N3 TOR UPGRADE: In order to improve stability and performances, we plan to do a software upgrade on the following switches.
The maintenances will be done at night to minimise service interruption, each switch upgrade can generate up to 5mn.. https://t.co/D2iktMbQVh #OVH",,Fri Aug 17 13:01:03 +0000 2018
comcastcares,"@dpbyron Hello @dpbyron! I see you have questions concerning a service interruption, and I would be more than happy to assist. Updates and notifications are available 24/7 @https://www.xfinity.com/support/status/. We can also look into this for you here, if you... https://t.co/cgGNdvsyfO",,Fri Aug 17 12:57:57 +0000 2018
NAWASAGrenada,"Please take note of this pending service interruption in Gouyave, Gouyave Estate, Dr. Belle, Maran and Douglaston, St. John; to facilitate repairs to a damaged main. 9:00 a.m. to 2:00 p.m. on Saturday August 18th, 2018. https://t.co/4SizGLlcre",,Fri Aug 17 12:31:49 +0000 2018
aqua_gib,17 August 2018 - Service Availability Information - Potable Water Interruption Monday https://t.co/tTDkBOlXGQ,,Fri Aug 17 12:22:12 +0000 2018
Ask_Spectrum,"@jlhoward70 My apologies for the service interruption you’re experiencing.  Please follow/DM your service phone number, full service address or account number and I would be happy to look into this for you. ^JK",,Fri Aug 17 12:11:20 +0000 2018
dudey31,"@PLDT_Cares 
I would like to follow up about my complaint regarding our service interruption. I went to PLDT SM Southmall twice already last August 11 and August 14. Service Interruption started August 9. 

REF# 26978664",,Fri Aug 17 11:58:09 +0000 2018
TracyMulligan3,RT @TORWater: Join TOR Water risk-free and save approximately 5% on your water bills. We guarantee no interruption to your supply and handl…,"Join TOR Water risk-free and save approximately 5% on your water bills. We guarantee no interruption to your supply and handle the entire switch process. You can get unmatched customer service and support a local business, directly benefiting the economy in the South West.",Fri Aug 17 11:32:04 +0000 2018
KaderMens,RT @ErimusIB: Move day at Erimus today - there will be a slight interruption to our telephone and IT service during the day and if you can’…,"Move day at Erimus today - there will be a slight interruption to our telephone and IT service during the day and if you can’t reach us on our landline and the matter is urgent, please call your key contacts mobile number https://t.co/ciRZkPN6Rq",Fri Aug 17 11:03:45 +0000 2018
