McCringie,"Quake Champions, I quit for a while and am prob bad: https://t.co/QV6LDjHp1q via @YouTube",,Sat Aug 18 20:16:29 +0000 2018
deathbox_,Live back on Quake! Raiding afterwards! https://t.co/Wt36h1iXrX,,Sat Aug 18 19:37:28 +0000 2018
S3r1ousOne,"Quake 2 Realtime GPU Pathtracing https://t.co/0GeqMDMVDl
and Ray Tracing looks very promising :)",,Sat Aug 18 19:36:37 +0000 2018
princessnatlord,@Quake i dont feel so good https://t.co/5OaIToayxm,,Sat Aug 18 19:36:33 +0000 2018
LiveASN,"[:en]Magnitude 6.6 Quake Hits North East Of Raba, Indonesia[:] https://t.co/9g58tSSg9G https://t.co/amVEw3gWmT",,Sat Aug 18 19:36:29 +0000 2018
JohnnyEAwesome,"RT @JohnnyEAwesome: ☮️🐱 #SaturdayMorning Hey Brian, a few people actually heard my song 'Quake Me Chloe', that's cool!🎶🎸 https://t.co/eTwye…","☮️🐱 #SaturdayMorning Hey Brian, a few people actually heard my song 'Quake Me Chloe', that's cool!🎶🎸 https://t.co/eTwyeHPNlo",Sat Aug 18 19:35:31 +0000 2018
tokyopunchout,@qcgermany @Quake Of course my man! Love what you guys have been doing to get all our friends in Germany connected! ✌🏼,,Sat Aug 18 19:35:19 +0000 2018
OasisMountain,"RT @EQAlerts: #Earthquake M3.7 7 km al Este de Sabalito, Coto Brus. 18 Aug 19:14 UTC - report/info: 
https://t.co/Ti9MnTknzm","#Earthquake M3.7 7 km al Este de Sabalito, Coto Brus. 18 Aug 19:14 UTC - report/info: 
https://t.co/Ti9MnTknzm",Sat Aug 18 19:35:05 +0000 2018
joyce_macri,6.1 quake shakes Costa Rica near Panama; no major damage https://t.co/jp7JevzZcC via @houstonchron,,Sat Aug 18 19:34:20 +0000 2018
VoiceOvNephilim,"The time to explore the depths of the Quake Underwater Jam has arrived. Nine watery maps await. 
https://t.co/YgJuId4G8h
Starts in thirty minutes. 
#Quake",,Sat Aug 18 19:33:43 +0000 2018
KalleSydwest,"@mr__quake Och sen blockade hon dig. Som med mig. Hennes konto sköts från Sveavägen 68. Hon har lånat ut sin person och intellekt till några som förut slängde ut henne och talade ner henne. Ingen heder, ingen skam.....",,Sat Aug 18 19:32:55 +0000 2018
4Everanimalz1,"RT @EQAlerts: #Earthquake M3.7 7 km al Este de Sabalito, Coto Brus. 18 Aug 19:14 UTC - report/info: 
https://t.co/Ti9MnTknzm","#Earthquake M3.7 7 km al Este de Sabalito, Coto Brus. 18 Aug 19:14 UTC - report/info: 
https://t.co/Ti9MnTknzm",Sat Aug 18 19:31:26 +0000 2018
Lord_Wavy_,@BelkinTheKid also quake 3 arena was sick to!!!,,Sat Aug 18 19:31:21 +0000 2018
EQAlerts,"#Earthquake M3.7 7 km al Este de Sabalito, Coto Brus. 18 Aug 19:14 UTC - report/info: 
https://t.co/Ti9MnTknzm",,Sat Aug 18 19:30:09 +0000 2018
stevieray__,@gmark1 Take quake,,Sat Aug 18 19:29:58 +0000 2018
jgestacioc1,"RT @HURACAN68: [ Sismos-Volcanes ]:Light mag. 4.6 earthquake - Mid-Indian Ridge on Saturday, 18 August 2018 https://t.co/wfcIoDZuZZ by ©vol…","[ Sismos-Volcanes ]:Light mag. 4.6 earthquake - Mid-Indian Ridge on Saturday, 18 August 2018 https://t.co/wfcIoDZuZZ by ©volcanodiscover https://t.co/rJB2Y1Y54J",Sat Aug 18 19:29:50 +0000 2018
HURACAN68,"[ Sismos-Volcanes ]:Light mag. 4.6 earthquake - Mid-Indian Ridge on Saturday, 18 August 2018 https://t.co/wfcIoDZuZZ by ©volcanodiscover https://t.co/rJB2Y1Y54J",,Sat Aug 18 19:28:03 +0000 2018
cano981pc,"RT @66Sombra66: Hoy jugaremos a Quake Champios, posible regreso a la comunidad?.. y 7 Day to Die con Caletero
@RetwitchEsp 

https://t.co/n…","Hoy jugaremos a Quake Champios, posible regreso a la comunidad?.. y 7 Day to Die con Caletero
@RetwitchEsp 

https://t.co/nWRHNbwip2",Sat Aug 18 19:27:10 +0000 2018
rajacyril,"RT @jothims: Kerala is devastated.Havoc everywhere. People r dying, struggling for life. While there r grt scientists inventing theories th…","Kerala is devastated.Havoc everywhere. People r dying, struggling for life. While there r grt scientists inventing theories that women trying to enter the Ayyappan temple is the reason.Wt an inhuman approach?! Then wt was d reason behind Gujarat earth quake&amp;Uttarakhand flood?",Sat Aug 18 19:26:58 +0000 2018
quake_allisa,RT @GeeksOfColor: Apple juice &gt; Orange juice. Don’t @ me. Goodnight.,Apple juice &gt; Orange juice. Don’t @ me. Goodnight.,Sat Aug 18 19:26:47 +0000 2018
jackguck,anyone who thinks quake champions isn’t a fantastic game because it has slightly unique characters is a sad garbage baby and nothing can change my mind (except getting barfed on by sorlag),,Sat Aug 18 19:25:26 +0000 2018
sn4pjji,"i feel
some just threw their old-school mouse
kabutt
why
EFF' THIS SHIT

why?
some already do know
we have to wait for quake 5 already now
why?
because q5-quake live a like update
from quake champions
because similar to pain killer
while doom eternal
while snapmap is a sleeperhit",,Sat Aug 18 19:25:09 +0000 2018
CriticalMediaR,RT @notesonthefront: The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some a…,The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some areas rose by over 70%.  Inflation rose by less than 1%.  The market can't repair itself.  The Government can't or won't repair it.  We need a tenant-quake. https://t.co/E3prnbcLyg,Sat Aug 18 19:24:29 +0000 2018
damrjjsb,RT @earthquake_jp: ［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #ea…,［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #earthquake,Sat Aug 18 19:24:26 +0000 2018
mayonen146089,RT @IGNJapan: 『Quake Champions』のデベロッパー、より多くの『スマブラ』風クロスオーバーを「積極的に検討中」 https://t.co/Aj3QaF1O3L https://t.co/W73OAs2Bjz,『Quake Champions』のデベロッパー、より多くの『スマブラ』風クロスオーバーを「積極的に検討中」 https://t.co/Aj3QaF1O3L https://t.co/W73OAs2Bjz,Sat Aug 18 19:23:16 +0000 2018
Quake_Beats,"RT @Priddy_Ugly: @wichi1080 - #WichiWednesday

Make a beat from scratch, and drop it, same day.

This time around it’s a little different.…","@wichi1080 - #WichiWednesday

Make a beat from scratch, and drop it, same day.

This time around it’s a little different. I offered to hop on the beat - 1st Official Ugly feature this year 😎🤷🏾‍♂️🔥

Who’s ready for the drop ?
RT #WichiWednesday https://t.co/IVhIrLzwmC",Sat Aug 18 19:22:52 +0000 2018
sn4pjji,"ok?
more or less

cypher got surrounded
without be'ing surrounded
and you don't get it
cypher is get'ing push'd off
slowly
inevatable
engraved in time

rapha took this?
until the end of quake live https://t.co/LUeEDAuxsX",,Sat Aug 18 19:22:47 +0000 2018
RaeldonTV,NB for a @Quake nub https://t.co/m5wQGIVOI1,,Sat Aug 18 19:22:05 +0000 2018
kannan93359107,"RT @jothims: Kerala is devastated.Havoc everywhere. People r dying, struggling for life. While there r grt scientists inventing theories th…","Kerala is devastated.Havoc everywhere. People r dying, struggling for life. While there r grt scientists inventing theories that women trying to enter the Ayyappan temple is the reason.Wt an inhuman approach?! Then wt was d reason behind Gujarat earth quake&amp;Uttarakhand flood?",Sat Aug 18 19:21:15 +0000 2018
sn4pjji,"this win
of clawz
is more than extremely
embarassing
for cypher
than for cooler here
why?
quake champions is new
and?
clawz won it
already 2times https://t.co/XVqN6sMksV",,Sat Aug 18 19:20:03 +0000 2018
Damysterion,RT @Quake: This fan art mash-up made our day. Bless this community. Please tag the artist if anybody knows them! #quakefam #futurampions #f…,This fan art mash-up made our day. Bless this community. Please tag the artist if anybody knows them! #quakefam #futurampions #feelsslambert https://t.co/tQLDvG3Qaq,Sat Aug 18 19:20:01 +0000 2018
Quake,@MyztroGaming @ZOWIEbyBenQUSA @RegenDrink @Twitch @GamersApparel Take this amazing QuakeCon journey w/ the lovely @MyztroGaming team! Feels like you’re there. ❤️🖤 #QuakeFam,,Sat Aug 18 19:19:08 +0000 2018
SiteSegundoSol,6.1 quake shakes Costa Rica near Panama; no major damage https://t.co/yuakXpgmeI,,Sat Aug 18 19:18:24 +0000 2018
SiteSegundoSol,Japan earthquake: Huge 6.4 magnitude quake hits Japan overnight as volcano warning issued https://t.co/CDWtx62pQ5,,Sat Aug 18 19:18:17 +0000 2018
SiteSegundoSol,"Magnitude 6.6 quake hits North East of Raba, Indonesia -USGS https://t.co/iWbmJ5V3iP",,Sat Aug 18 19:18:02 +0000 2018
the_suicider,RT @Quake: This fan art mash-up made our day. Bless this community. Please tag the artist if anybody knows them! #quakefam #futurampions #f…,This fan art mash-up made our day. Bless this community. Please tag the artist if anybody knows them! #quakefam #futurampions #feelsslambert https://t.co/tQLDvG3Qaq,Sat Aug 18 19:18:00 +0000 2018
roisinSF,RT @notesonthefront: The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some a…,The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some areas rose by over 70%.  Inflation rose by less than 1%.  The market can't repair itself.  The Government can't or won't repair it.  We need a tenant-quake. https://t.co/E3prnbcLyg,Sat Aug 18 19:17:58 +0000 2018
0fijs,"@dannygonzalez first of all you gotta stop making pewdiepie quake with your subscriber count, then we’ll talk",,Sat Aug 18 19:17:41 +0000 2018
hazwanhshm,"RT @ariesfagfoot: Malays: oii bapuk-
Gays: im about to suck a cock you better stay away before i quake the earth bitch","Malays: oii bapuk-
Gays: im about to suck a cock you better stay away before i quake the earth bitch",Sat Aug 18 19:17:36 +0000 2018
Quake_Tracker4,Mag: 4.6 - Depth: 10 km - UTC 17:15 - Mid-indian Ridge - USGS Info: https://t.co/6RUDBCz9nV,,Sat Aug 18 19:17:01 +0000 2018
wilsonmiller8,@Miss_Haseena Baghooooo... Itx earth quake,,Sat Aug 18 19:16:27 +0000 2018
IVSTINVS_,"RT @ESLQuake: Tomorrow, our #Go4 @Quake Qualifier kicks off for Europe and North America. Don't miss your chance to qualify for the $1500 A…","Tomorrow, our #Go4 @Quake Qualifier kicks off for Europe and North America. Don't miss your chance to qualify for the $1500 August Finals.

🇪🇺 Go4QC Europe: https://t.co/ykrhA08OTp
🇺🇸 Go4QC North America: https://t.co/oaM7qxU3DP https://t.co/MsNoP7sijU",Sat Aug 18 19:16:22 +0000 2018
Quake,"RT @MyztroGaming: Our #Quakecon 2018 video is now live!! Enjoy from all @MyztroGaming ..
https://t.co/6BeFC1YD7N

@ZOWIEbyBenQUSA @RegenDri…","Our #Quakecon 2018 video is now live!! Enjoy from all @MyztroGaming ..
https://t.co/6BeFC1YD7N

@ZOWIEbyBenQUSA @RegenDrink @Twitch @GamersApparel 
#Quakechampions #QuakeCon",Sat Aug 18 19:16:18 +0000 2018
quake_allisa,"RT @TimTomYT: Hey! A bunch of animators and I are going to do a charity livestream on my channel for @savethechildren!

We made a coloring…","Hey! A bunch of animators and I are going to do a charity livestream on my channel for @savethechildren!

We made a coloring book, and I'm gonna sign the first 10 physical copies sold! If you want to get one go to https://t.co/wtgu0YHpD8

See you tomorrow! :D",Sat Aug 18 19:16:08 +0000 2018
BestAmongBest99,6.1 quake shakes Costa Rica near Panama; no major damage https://t.co/nRXpuM5OQC,,Sat Aug 18 19:14:03 +0000 2018
MoSEMA_,"Join us at the @StLouisScience Center Sept. 22 for SciFest 2018 -- Rock, Fossil, Quake!  We’ll be talking about when an earthquake could occur in Missouri and how you can protect yourself!
 
https://t.co/xaUU2naxY5",,Sat Aug 18 19:14:00 +0000 2018
Bvp17039888,just started some #quake #quakechampions HIT ME UP! via @Restreamio,,Sat Aug 18 19:13:38 +0000 2018
quakenotices,#quake 2018-08-18 17:15:44 (M4.6) Mid-Indian Ridge -13.7 66.0 (1cbfb) https://t.co/cp4duvPhfD,,Sat Aug 18 19:12:57 +0000 2018
jishinlog,【PR】JapanQuakeLive https://t.co/XTyEWk6EKz,,Sat Aug 18 19:11:47 +0000 2018
theBigSandbox,"QUAKE! Magnitude 4.6, Mid-Indian Ridge on August 18th 2018 at 1:15 pm ET. https://t.co/X6l5Kd4nqU",,Sat Aug 18 19:11:03 +0000 2018
sashasmaura,"I GOT MY BEST FRIEND INTO AOS AND WE REWATCHED ONLY SEASON ONE FOUR TIMES IN THIS WEEK. SHE CAN SPEAK EVERY WORDS FROM HER FAV ALIAS SKYE/DAISY/QUAKE, SAME AS ME WITH MAY‘s WORDS. FRIENDSHIP GOALS 😌👭
@MingNa @chloebennet 

- we love MayDaisy 🧡",,Sat Aug 18 19:08:01 +0000 2018
tmustaine,"Screenshot from my first #quake map. Had edited in notepad.exe!  I need to scan all this crap, it’s a 🔥 hazard! https://t.co/pZzQwQ6hqS",,Sat Aug 18 19:07:22 +0000 2018
Bvp17039888,just started some #quake #quakechampions HIT ME UP!,,Sat Aug 18 19:06:38 +0000 2018
ps3brasil,Bethesda diz que existe a chance de Quake Champions nos consoles; não há planos no momento - https://t.co/o543vsH8rN https://t.co/2HFQT9mAeb,,Sat Aug 18 19:05:49 +0000 2018
abraham77634720,@NyxPower @Quake someday i will get it :'),,Sat Aug 18 19:05:49 +0000 2018
radiormnpodcast,"Typhoons and hurricanes can trigger large #earthquakes in tropical regions, a study suggests. Haiti's 2010 magnitude-7.0 temblor and a 6.4-magnitude quake that struck Kaohsiung, Taiwan, the same year, fit this pattern https://t.co/DhpWCnjzwy",,Sat Aug 18 19:04:48 +0000 2018
Nsayn4,"Quake Campions ][ КАМРАД не подведёт! Заходи, подписывайся): https://t.co/Ir8Np0tlJa на @YouTube",,Sat Aug 18 19:03:38 +0000 2018
JoomLv,"Видео ""#Quake #Live #Stream #Квака 📢 Joom_lv vs Quake Champions / EU / LIVE 18.08"" (https://t.co/nhRKrZyNqi) на",,Sat Aug 18 19:03:12 +0000 2018
nanorobot_quake,現在日時：2018年8月19日日曜日　4時02分です。,,Sat Aug 18 19:02:56 +0000 2018
realQuig,PLAYING THE FIRST GAME ON HYPIXEL!?! (Hypixel Quake Craft): https://t.co/svZZLt804F via @YouTube,,Sat Aug 18 19:01:14 +0000 2018
OasisMountain,"RT @EQAlerts: #Earthquake M4.2 PANAMA-COSTA RICA BORDER REGION 18 Aug 18:28 UTC - report/info: 
https://t.co/d4Twk6fL6R","#Earthquake M4.2 PANAMA-COSTA RICA BORDER REGION 18 Aug 18:28 UTC - report/info: 
https://t.co/d4Twk6fL6R",Sat Aug 18 19:00:42 +0000 2018
OasisMountain,"RT @EQAlerts: #Earthquake M3.3 5 km al Oeste de Golfito, Puntarenas. 0mins ago 18 Aug 18:58 UTC - report/info: 
https://t.co/9RvXw4bLlp","#Earthquake M3.3 5 km al Oeste de Golfito, Puntarenas. 0mins ago 18 Aug 18:58 UTC - report/info: 
https://t.co/9RvXw4bLlp",Sat Aug 18 19:00:40 +0000 2018
earthquakesApp,"[EMSC] M4.2 Aug-18 19:00:28 UTC, PANAMA-COSTA RICA BORDER REGION, Depth:24.0km, https://t.co/d2fdh7dHCC #quake https://t.co/Mwdfegrv8Q",,Sat Aug 18 19:00:28 +0000 2018
WHSVnews,6.0 quake shakes Costa Rica near Panama; no major damage https://t.co/TNobU5XJuq,,Sat Aug 18 19:00:03 +0000 2018
InboundPlanet,"RT @EQAlerts: #Earthquake M4.2 PANAMA-COSTA RICA BORDER REGION 18 Aug 18:28 UTC - report/info: 
https://t.co/d4Twk6fL6R","#Earthquake M4.2 PANAMA-COSTA RICA BORDER REGION 18 Aug 18:28 UTC - report/info: 
https://t.co/d4Twk6fL6R",Sat Aug 18 18:59:47 +0000 2018
4Everanimalz1,"RT @EQAlerts: #Earthquake M3.3 5 km al Oeste de Golfito, Puntarenas. 0mins ago 18 Aug 18:58 UTC - report/info: 
https://t.co/9RvXw4bLlp","#Earthquake M3.3 5 km al Oeste de Golfito, Puntarenas. 0mins ago 18 Aug 18:58 UTC - report/info: 
https://t.co/9RvXw4bLlp",Sat Aug 18 18:59:37 +0000 2018
4Everanimalz1,"RT @EQAlerts: #Earthquake M4.2 PANAMA-COSTA RICA BORDER REGION 18 Aug 18:28 UTC - report/info: 
https://t.co/d4Twk6fL6R","#Earthquake M4.2 PANAMA-COSTA RICA BORDER REGION 18 Aug 18:28 UTC - report/info: 
https://t.co/d4Twk6fL6R",Sat Aug 18 18:59:30 +0000 2018
InboundPlanet,"RT @EQAlerts: #Earthquake M4.7 86km SE of Kuril'sk, Russia 18 Aug 16:41 UTC - report/info: 
https://t.co/WeWXqy7uW1","#Earthquake M4.7 86km SE of Kuril'sk, Russia 18 Aug 16:41 UTC - report/info: 
https://t.co/WeWXqy7uW1",Sat Aug 18 18:59:19 +0000 2018
InboundPlanet,"RT @EQAlerts: #Earthquake M3.2 7km NNW of Big Bear Lake, CA 10mins ago 18 Aug 16:02 UTC - report/info: 
https://t.co/REkvF3p4ru","#Earthquake M3.2 7km NNW of Big Bear Lake, CA 10mins ago 18 Aug 16:02 UTC - report/info: 
https://t.co/REkvF3p4ru",Sat Aug 18 18:59:09 +0000 2018
mr__quake,"RT @Fnordspotting: MP försöker som ni kanske har märkt att göra Gustav Fridolin så osynligt som möjligt fram till valet, så jag vill bara p…","MP försöker som ni kanske har märkt att göra Gustav Fridolin så osynligt som möjligt fram till valet, så jag vill bara passa på att påminna om hans existens. https://t.co/6HkCFpAd85",Sat Aug 18 18:59:00 +0000 2018
mr__quake,"RT @lind_ake: För 40 år sedan fanns klimatförnekare.
Forskarna var överens 
Den globala avkylningen är ett faktum.
Science is settled
#klim…","För 40 år sedan fanns klimatförnekare.
Forskarna var överens 
Den globala avkylningen är ett faktum.
Science is settled
#klimat https://t.co/K1Nq816shK",Sat Aug 18 18:58:47 +0000 2018
JayTheCrazyDork,Enemy Territory: Quake Wars is actually super fun.,,Sat Aug 18 18:58:35 +0000 2018
Quake_Ohana,"J'aime une vidéo @YouTube : ""CÉLINE DION - ASHES - LYRICS VIDEO HD (Deadpool 2) (2018)"" à l'adresse https://t.co/fJ4sQdAqzx.",,Sat Aug 18 18:58:31 +0000 2018
EQAlerts,"#Earthquake M3.3 5 km al Oeste de Golfito, Puntarenas. 0mins ago 18 Aug 18:58 UTC - report/info: 
https://t.co/9RvXw4bLlp",,Sat Aug 18 18:58:08 +0000 2018
learn2discern1,"RT @EQAlerts: #Earthquake M4.2 PANAMA-COSTA RICA BORDER REGION 18 Aug 18:28 UTC - report/info: 
https://t.co/d4Twk6fL6R","#Earthquake M4.2 PANAMA-COSTA RICA BORDER REGION 18 Aug 18:28 UTC - report/info: 
https://t.co/d4Twk6fL6R",Sat Aug 18 18:58:06 +0000 2018
MarvelFan123456,@Voldemorgoth @softtonys Lmao. You're telling someone to go read some comic books when it's obvious you don't know what Quake can do with her powers in the comics.,,Sat Aug 18 18:57:54 +0000 2018
EQAlerts_M4,"RT @EQAlerts: #Earthquake M4.2 PANAMA-COSTA RICA BORDER REGION 18 Aug 18:28 UTC - report/info: 
https://t.co/d4Twk6fL6R","#Earthquake M4.2 PANAMA-COSTA RICA BORDER REGION 18 Aug 18:28 UTC - report/info: 
https://t.co/d4Twk6fL6R",Sat Aug 18 18:57:54 +0000 2018
EQAlerts,"#Earthquake M4.2 PANAMA-COSTA RICA BORDER REGION 18 Aug 18:28 UTC - report/info: 
https://t.co/d4Twk6fL6R",,Sat Aug 18 18:57:54 +0000 2018
GraczkaLou,@bagienny https://t.co/hZpWYBPIFd,,Sat Aug 18 18:57:48 +0000 2018
