SalahMmoustafa,"No thoughts no prayers can bring back what’s no longer there 
 https://t.co/FL27f3RRLE",,Sun Aug 19 00:19:13 +0000 2018
Weekly_Shawn,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:09:56 +0000 2018
myriam_zenasnii,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:09:47 +0000 2018
OueslatiSoraya,"RT @PaulaAbdul: My love, prayers and warm thoughts are with Aretha Franklin—the Queen of Soul. I’m praying for her and her health. Thank yo…","My love, prayers and warm thoughts are with Aretha Franklin—the Queen of Soul. I’m praying for her and her health. Thank you to all her family and friends who are standing by her and loving her through her illness. I’m holding you all in my heart.",Sun Aug 19 00:09:44 +0000 2018
milasaftertaste,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:09:43 +0000 2018
reemasinghhh,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:09:43 +0000 2018
shanedawson_Uno,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:09:30 +0000 2018
marizol_diaz_2,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:09:30 +0000 2018
lostwithshawnn,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:09:28 +0000 2018
tbh_arielle0428,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:09:28 +0000 2018
Imynewton033,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:09:27 +0000 2018
HanaGregory2,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:09:26 +0000 2018
honestmends,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:09:26 +0000 2018
lamis_omran01,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:09:24 +0000 2018
ImHighKeyShawn,"If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",,Sun Aug 19 00:09:13 +0000 2018
AnsariKabiz,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sun Aug 19 00:08:49 +0000 2018
JeffHertler,"RT @Dax_x98: I got a message from Kelly on #Facebook 😢

Thank You #TwitterFamily for all the Thoughts &amp; Prayers, Donations, Love &amp; support…","I got a message from Kelly on #Facebook 😢

Thank You #TwitterFamily for all the Thoughts &amp; Prayers, Donations, Love &amp; support you showed Kelly &amp; her family it means the world to us. going to see her tomorrow. 

#Dax #PrayersForKelly #FuckCancer https://t.co/WT5wm9fVFX",Sun Aug 19 00:08:25 +0000 2018
LalithK03290631,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sun Aug 19 00:08:21 +0000 2018
johnmitch59,RT @usmc1940: Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’…,Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’alls prayers and positive thoughts. He hasn’t lost his Gung-ho Marine attitude; telling me just now “We’ll get through this. I’ve been through worse”. https://t.co/cv5ReCzgxI,Sun Aug 19 00:08:04 +0000 2018
johnmitch59,@usmc1940 Lots of prayers and positive thoughts for the Colonel...🙏👍🙁,,Sun Aug 19 00:07:56 +0000 2018
ruthiesaysoh,"RT @TefoManoto: #Africa has lost one of its greatest treasures. #KofiAnnan was a bright light and hero. He led with grace, humility and dig…","#Africa has lost one of its greatest treasures. #KofiAnnan was a bright light and hero. He led with grace, humility and dignity. He made me extremely proud to be #African. To all of #Ghana and his family, our thoughts and prayers are with you. #RIPKofiAnnan https://t.co/3dAXzOUbHS",Sun Aug 19 00:07:43 +0000 2018
ClaireMcManus79,"RT @mrs_smilligan: Please keep Fr McKie in your thoughts and prayers, he is poorly at the moment.","Please keep Fr McKie in your thoughts and prayers, he is poorly at the moment.",Sun Aug 19 00:07:25 +0000 2018
Richm63Rich,@Ellytweetybird Stay strong. All my thoughts and prayers for you!,,Sun Aug 19 00:07:22 +0000 2018
ChanduB77435937,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sun Aug 19 00:07:20 +0000 2018
dwinegar1957,RT @usmc1940: Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’…,Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’alls prayers and positive thoughts. He hasn’t lost his Gung-ho Marine attitude; telling me just now “We’ll get through this. I’ve been through worse”. https://t.co/cv5ReCzgxI,Sun Aug 19 00:06:50 +0000 2018
4djt2016,"RT @Real_PeachyKeen: Patriots! As you go about your Friday, keep @GenFlynn and his family in your hearts, your thoughts, &amp; your prayers 🙏…","Patriots! As you go about your Friday, keep @GenFlynn and his family in your hearts, your thoughts, &amp; your prayers 🙏

The Deep State Witch Hunt has taken a toll, but in the end Gen Flynn will win!

Please donate to his Defense: https://t.co/2b61Mt21Dq

#AllInForGenFlynnFriday https://t.co/RASQzldCCp",Sun Aug 19 00:06:48 +0000 2018
Mahanteshmmj,RT @priyankauppi: Thoughts and prayers with the people of #Coorg #Kodagufloods  #savekodagu God give them strength and resilience 🙏🏻 lets h…,Thoughts and prayers with the people of #Coorg #Kodagufloods  #savekodagu God give them strength and resilience 🙏🏻 lets help them in any way we can.. https://t.co/Pab3SnLsLW,Sun Aug 19 00:06:45 +0000 2018
LauraBergerol,"RT @Faith_Salie: Thoughts &amp; prayers for Don McGahn’s lawyer, who utterly misunderstands what “fulsome” means. He’s clearly one of those wor…","Thoughts &amp; prayers for Don McGahn’s lawyer, who utterly misunderstands what “fulsome” means. He’s clearly one of those wordsmiths who thinks his lexicon is penultimately bemusing. https://t.co/XIhTbhxd6s",Sun Aug 19 00:06:40 +0000 2018
SaidareddyC,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sun Aug 19 00:06:36 +0000 2018
sathiyasathi2,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sun Aug 19 00:06:30 +0000 2018
Erasec,@jonkudelka Thoughts and prayers.,,Sun Aug 19 00:06:27 +0000 2018
Lb_Sterling,"Now let's do something!!!! We need more than thoughts and prayers!!! 

#Mencan https://t.co/g5n0KaF23a",,Sun Aug 19 00:06:25 +0000 2018
Dax_x98,"I got a message from Kelly on #Facebook 😢

Thank You #TwitterFamily for all the Thoughts &amp; Prayers, Donations, Love &amp; support you showed Kelly &amp; her family it means the world to us. going to see her tomorrow. 

#Dax #PrayersForKelly #FuckCancer https://t.co/WT5wm9fVFX",,Sun Aug 19 00:06:24 +0000 2018
wordsnpictures1,@CrystalDani_ Thoughts and prayers CC🙏,,Sun Aug 19 00:05:10 +0000 2018
