ElkoDaily,"New fire south of Carlin burns 2,500-plus acres Thursday https://t.co/E1cpS8wpUT",,Fri Aug 24 04:48:09 +0000 2018
sassycnut,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 23:17:39 +0000 2018
snowstar444,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 22:54:28 +0000 2018
VinePsychic,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 22:36:21 +0000 2018
DougHamments,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 22:31:56 +0000 2018
Heatherknows2,"RT @JennySelsby: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/n1J7Px0UVp

With so many fires burning, how d…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/n1J7Px0UVp

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/mHB1Aa9Tuv #green #ecofriendly #environm…",Thu Aug 23 22:30:10 +0000 2018
OldSilasWebster,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 22:14:19 +0000 2018
tbegor,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 22:11:19 +0000 2018
GoingUpRiver,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 22:01:27 +0000 2018
peppermente,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 21:58:24 +0000 2018
DarwinEcoArtist,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 21:55:12 +0000 2018
GGG_says,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 21:41:05 +0000 2018
SENSUALPHOTOG,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 21:36:19 +0000 2018
lepilla,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 21:35:54 +0000 2018
AmericanAntiFed,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 21:33:33 +0000 2018
JennySelsby,"Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/n1J7Px0UVp

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/mHB1Aa9Tuv #green #ecofriendly #environm…",,Thu Aug 23 21:30:43 +0000 2018
FifthHouseSun,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 21:29:25 +0000 2018
CapaTosta122,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 21:27:18 +0000 2018
WhirledCitizen_,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 21:26:54 +0000 2018
WatkinsStephie,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 21:26:13 +0000 2018
CorkEnvForum,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 21:24:47 +0000 2018
robertscribbler,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 21:24:43 +0000 2018
bexitup,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 21:24:19 +0000 2018
Energisch_,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Thu Aug 23 21:23:52 +0000 2018
MikeHudema,"Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",,Thu Aug 23 21:23:01 +0000 2018
RockyTopSkiBum,"RT @NBCMontana: An unmanned aircraft system was used Monday on the fire, which has burned more than three square miles in the park and on t…","An unmanned aircraft system was used Monday on the fire, which has burned more than three square miles in the park and on the Lee Metcalf Wilderness south of Big Sky. https://t.co/I6EuSuAg2I",Thu Aug 23 17:33:31 +0000 2018
WillNBCMT,"RT @NBCMontana: An unmanned aircraft system was used Monday on the fire, which has burned more than three square miles in the park and on t…","An unmanned aircraft system was used Monday on the fire, which has burned more than three square miles in the park and on the Lee Metcalf Wilderness south of Big Sky. https://t.co/I6EuSuAg2I",Thu Aug 23 17:25:46 +0000 2018
NBCMontana,"An unmanned aircraft system was used Monday on the fire, which has burned more than three square miles in the park and on the Lee Metcalf Wilderness south of Big Sky. https://t.co/I6EuSuAg2I",,Thu Aug 23 17:25:24 +0000 2018
TeamCroston,"As of yesterday 1,680 square miles have burned in California wildfires this summer
Just for a sense of scale
The Hawaiian eruption that was all over the news (and made it seem like all of Hawaii was on fire) resulted in 13 square miles of damage",,Thu Aug 23 14:17:18 +0000 2018
CalDisasters,RT @PGE_John: This morning's MODIS satellite image of the #MendocinoComplexFire updated at 5:15 a.m. PDT Aug. 23. The fire has burned appro…,"This morning's MODIS satellite image of the #MendocinoComplexFire updated at 5:15 a.m. PDT Aug. 23. The fire has burned approximately 361,000 acres or 564 square miles (largest in state history) and is 67% contained.  #CaWx #RanchFire #CalFire https://t.co/JIoVcrjJy3",Thu Aug 23 12:37:32 +0000 2018
PGE_John,"This morning's MODIS satellite image of the #MendocinoComplexFire updated at 5:15 a.m. PDT Aug. 23. The fire has burned approximately 361,000 acres or 564 square miles (largest in state history) and is 67% contained.  #CaWx #RanchFire #CalFire https://t.co/JIoVcrjJy3",,Thu Aug 23 12:37:05 +0000 2018
solarwarden88,Some people like to debate whether nuking of Japan was necessary. What I can tell you is that what we had planned along with fire bombing was chlorine gassing 250 square miles as encapsulated by this quote...,,Wed Aug 22 19:31:21 +0000 2018
CSAC_Counties,"#MendocinoComplexFire tops 400,000 acres. To put that in perspective, that's equal to 625 square miles, or larger than six California Counties! https://t.co/CAhnZyssY7 @bayareamoms #wildfires #CACounties",,Wed Aug 22 15:24:24 +0000 2018
TheMichaelGrey,"Took the top photo one month ago today. The lower photo is what 17 square miles of wild fire looks like in the same location currently.
.
.
#glaciernationalpark #lakemcdonald #montana… https://t.co/sXlAQLPoDY",,Wed Aug 22 13:31:38 +0000 2018
GFTribune,"The fire is burning in lodgepole pine trees that grew after fires in 2001 and 2003, but is also fueled by downed logs and dead trees. https://t.co/KziqfPoIsG",,Tue Aug 21 21:00:13 +0000 2018
KMON560,Howe Ridge Fire expands to 17 square miles. https://t.co/JGa7A9SiHf,,Tue Aug 21 20:36:05 +0000 2018
HowardGees,"@pseudo_hipster @jachee @bethgg Fire is on a bit of grass less than a mile square, about 7 miles away and the other side of the river Trent. https://t.co/fKpARQcPqP",,Tue Aug 21 19:09:35 +0000 2018
CC_WxWitch,"RT @missoulian: Unsettled weather, including strong winds from the northeast, caused growth on the southwestern flank of a fire burning in…","Unsettled weather, including strong winds from the northeast, caused growth on the southwestern flank of a fire burning in Glacier National Park. https://t.co/8H85hurmwT https://t.co/Pde7PGnMmT",Tue Aug 21 16:12:05 +0000 2018
missoulian,"Unsettled weather, including strong winds from the northeast, caused growth on the southwestern flank of a fire burning in Glacier National Park. https://t.co/8H85hurmwT https://t.co/Pde7PGnMmT",,Tue Aug 21 16:05:24 +0000 2018
faithbasedisao,RT @Gate_15_Analyst: Stone Fire covers over 35 square miles in Modoc County https://t.co/khwNqYBrU3,Stone Fire covers over 35 square miles in Modoc County https://t.co/khwNqYBrU3,Tue Aug 21 10:38:12 +0000 2018
Singularitybook,"Fires fed by warmer climate. The five hottest fire seasons, stretching from April to September, in the Western U.S produced years that on average burned more than 13,500 square miles of land via /r/Futurology https://t.co/fjKo0hyvJL https://t.co/ZNgrbp21qU",,Tue Aug 21 10:16:12 +0000 2018
Gate_15_Analyst,Stone Fire covers over 35 square miles in Modoc County https://t.co/khwNqYBrU3,,Tue Aug 21 09:40:02 +0000 2018
simmo_g,"@nytimes It's winter in Australia, bushfires, drought over 300,000 square miles.  Each year the fire seaon starts earlier and the Liberal National party denies there's a problem with climate change. The scientists Antarctica are reporting massive ice melts and  warming.  Fossil fuel rules",,Tue Aug 21 09:22:51 +0000 2018
GiovanniToschi,"Fires fed by warmer climate. The five hottest fire seasons, stretching from April to September, in the Western U.S produced years that on average burned more than 13,500 square miles of land
https://t.co/pyJr0J1KpJ",,Tue Aug 21 09:10:56 +0000 2018
KatrinaMKelly,"RT @IHC2FD: And low humidity is ""the key driver of wildfire spread,"" according to University of Colorado fire scientist Jennifer Balch who…","And low humidity is ""the key driver of wildfire spread,"" according to University of Colorado fire scientist Jennifer Balch who says the Western U.S. soon will start to see wildfires of 1 million acres (1,562 square miles).
https://t.co/mZMYUMhpPm",Mon Aug 20 23:21:44 +0000 2018
katebochte,"Pope Jorge needs to resign. But, of course he won’t. So Catholics need to FIRE these evil, dangerous men. Prosecute them! #Accountability No one is above the law but Jorge claims diplomatic immunity, as head of 6 square miles of Vatican City. No excuse for 🙈🙉🙊laity. @BretBaier",,Mon Aug 20 22:56:14 +0000 2018
