Tim70774497,I'm raising money for Carr fire . Click to Donate:  https://t.co/n0Z0jl0I9a via @gofundme,,Sat Aug 04 07:33:36 +0000 2018
Calderon3Robert,RT @_tetehernandez: I know money isn’t everything but I always feel so good whenever I donate to any shelters or children hospitals :( ❤️,I know money isn’t everything but I always feel so good whenever I donate to any shelters or children hospitals :( ❤️,Sat Aug 04 06:46:38 +0000 2018
Meiguroshi_,RT @blissejun: i know it may be pointless to some of you and i know that on gofundme there are people who really need to get money more tha…,"i know it may be pointless to some of you and i know that on gofundme there are people who really need to get money more than i do but...victon are my ults and i reallyyyyyy want to see them so i’d appreciate it if someone would donate....
https://t.co/BVzgU3FxHf",Sat Aug 04 06:44:49 +0000 2018
malecstrash,RT @sapphicbane: https://t.co/IKYcFNh2Co my little angel has hurt his paw really badly and he’s limping and can barley put his foot down. W…,"https://t.co/IKYcFNh2Co my little angel has hurt his paw really badly and he’s limping and can barley put his foot down. We don’t have the money to take him to the vet please share if you can’t donate

[ #animals #cats #Gofundme #dogs #LGBTPROUD please help me ]",Sat Aug 04 06:44:35 +0000 2018
Tjconnor4,"RT @bikeboybute: Loch fad bluebird project polos and baseball caps for sale @lochfad and @thebikeshed

£5 from every sale goes back to the…","Loch fad bluebird project polos and baseball caps for sale @lochfad and @thebikeshed

£5 from every sale goes back to the project. Please help donate money to this great project run by volunteers. https://t.co/CXAipqTefP",Sat Aug 04 06:43:44 +0000 2018
Karrel_Mae,RT @irisvicencio: We really should stop obsessing over what rich people use their money for and start looking into what they don’t. Do they…,"We really should stop obsessing over what rich people use their money for and start looking into what they don’t. Do they pay their workers enough? Taxes? Donate? Do they use alternative products that help save the world?
I don’t care if they have Gucci purses and diamond rings.",Sat Aug 04 06:41:45 +0000 2018
TenshiAkari12,RT @sammysousaaa: Y’all are right. Life isn’t as easy as RT’s . Please read my story. I'm raising money for sammysousaaa’s school expenses.…,Y’all are right. Life isn’t as easy as RT’s . Please read my story. I'm raising money for sammysousaaa’s school expenses. Click to Donate:  https://t.co/7f5R7JlFDW via @gofundme,Sat Aug 04 06:41:38 +0000 2018
paramjit0033,"RT @_Insan_Gursewak: We need to donate some money for poor and needy people 
Saint's says donate the 10th Part of you money for disability…","We need to donate some money for poor and needy people 
Saint's says donate the 10th Part of you money for disability and poor people 
#EarnToLiveSaysDrMSG https://t.co/phDSbsbQVq",Sat Aug 04 06:41:01 +0000 2018
TogetherIntl,RT @familiesbelong: We are raising money to help a migrant family heal. Click to Donate:  https://t.co/eZaCeVU2fE via @gofundme #FamiliesBe…,We are raising money to help a migrant family heal. Click to Donate:  https://t.co/eZaCeVU2fE via @gofundme #FamiliesBelongTogether,Sat Aug 04 06:40:01 +0000 2018
CamrenSpy,I'm raising money for Help me build a restaurant. Click to Donate:  https://t.co/O9k1lvSWeJ via @gofundme,,Sat Aug 04 06:39:47 +0000 2018
ImNamedJames,"@KristenKeogh Did they give you any copies, KK? I happen to have ""obtained""🤫 a number of these mags. Maybe you could sign them, ask for a donation to get one, and donate the money to charity?🤔",,Sat Aug 04 06:39:02 +0000 2018
irisvicencio,"We really should stop obsessing over what rich people use their money for and start looking into what they don’t. Do they pay their workers enough? Taxes? Donate? Do they use alternative products that help save the world?
I don’t care if they have Gucci purses and diamond rings.",,Sat Aug 04 06:38:52 +0000 2018
seonhostars,RT @blissejun: i know it may be pointless to some of you and i know that on gofundme there are people who really need to get money more tha…,"i know it may be pointless to some of you and i know that on gofundme there are people who really need to get money more than i do but...victon are my ults and i reallyyyyyy want to see them so i’d appreciate it if someone would donate....
https://t.co/BVzgU3FxHf",Sat Aug 04 06:38:09 +0000 2018
HannaWho182,RT @saylormakenzi: I'm raising money for 6 month old Dalmatian hit by car. Click to Donate:  https://t.co/sA55KrxGRB via @gofundme,I'm raising money for 6 month old Dalmatian hit by car. Click to Donate:  https://t.co/sA55KrxGRB via @gofundme,Sat Aug 04 06:38:04 +0000 2018
thedreamz_,RT @blissejun: i know it may be pointless to some of you and i know that on gofundme there are people who really need to get money more tha…,"i know it may be pointless to some of you and i know that on gofundme there are people who really need to get money more than i do but...victon are my ults and i reallyyyyyy want to see them so i’d appreciate it if someone would donate....
https://t.co/BVzgU3FxHf",Sat Aug 04 06:37:59 +0000 2018
cafeIoey,RT @blissejun: i know it may be pointless to some of you and i know that on gofundme there are people who really need to get money more tha…,"i know it may be pointless to some of you and i know that on gofundme there are people who really need to get money more than i do but...victon are my ults and i reallyyyyyy want to see them so i’d appreciate it if someone would donate....
https://t.co/BVzgU3FxHf",Sat Aug 04 06:37:07 +0000 2018
NatyRainGH,"RT @Adobe_a: @NatyRainGH 🤣🤣they should have money 💰...to donate more than they can raise  ..give yourself time, you will get nominated soon!","@NatyRainGH 🤣🤣they should have money 💰...to donate more than they can raise  ..give yourself time, you will get nominated soon!",Sat Aug 04 06:37:03 +0000 2018
MyFirstCousin,"Think of the money that could be collected with a pedestrian tax, it would be enough to donate to Turnbull's benefactors many times over.",,Sat Aug 04 06:36:52 +0000 2018
Thedailymaraj,I'm raising money to use for a business I’ll hope to have in 2 years tops. Click to Donate:  https://t.co/p5A5bDb9t3 via @gofundme,,Sat Aug 04 06:36:27 +0000 2018
himsejun,RT @blissejun: i know it may be pointless to some of you and i know that on gofundme there are people who really need to get money more tha…,"i know it may be pointless to some of you and i know that on gofundme there are people who really need to get money more than i do but...victon are my ults and i reallyyyyyy want to see them so i’d appreciate it if someone would donate....
https://t.co/BVzgU3FxHf",Sat Aug 04 06:36:16 +0000 2018
Jaazzeeh,"Fundraising money to support the Children's Healthcare of Atlanta. If You cannot donate a simple retweet will suffice, much appreciated 💛 #Fundraising #ChildrensHealthcare #Battlecancer https://t.co/X7IF7eKVwY",,Sat Aug 04 06:36:15 +0000 2018
JmJohnpj,RT @Yes2Kirkcaldy: I am raising money for New Independence Hub For Kirkcaldy. Click to Donate:  https://t.co/KbYhVFf3jF via @gofundme,I am raising money for New Independence Hub For Kirkcaldy. Click to Donate:  https://t.co/KbYhVFf3jF via @gofundme,Sat Aug 04 06:36:08 +0000 2018
bikeboybute,"Loch fad bluebird project polos and baseball caps for sale @lochfad and @thebikeshed

£5 from every sale goes back to the project. Please help donate money to this great project run by volunteers. https://t.co/CXAipqTefP",,Sat Aug 04 06:35:39 +0000 2018
ImSuresh_insan,"RT @_Insan_Gursewak: We need to donate some money for poor and needy people 
Saint's says donate the 10th Part of you money for disability…","We need to donate some money for poor and needy people 
Saint's says donate the 10th Part of you money for disability and poor people 
#EarnToLiveSaysDrMSG https://t.co/phDSbsbQVq",Sat Aug 04 06:33:46 +0000 2018
LSilentN,"“Niggas want Lebron to be hero so bad” niggas u retarded fuck, what tf u think Lebron is to a lot these kids? How much money did YOU donate to kids? I’m sure not a Millions..always folks who dont do shit have da most negativity to say about others doing good always have an agenda",,Sat Aug 04 06:32:39 +0000 2018
TrishkeatingMcr,RT @heatherwaters15: I must know some rugby supporters who would like to own this shirt and donate money to 2 great charities @ProstateUK P…,I must know some rugby supporters who would like to own this shirt and donate money to 2 great charities @ProstateUK Pls share @Cherylgourlay @TrishkeatingMcr @funkysidey @mikepalinmmp https://t.co/5bYxdtTImi,Sat Aug 04 06:32:36 +0000 2018
imdiegolopez,yall got so much money and wont donate any to flint,,Sat Aug 04 06:32:22 +0000 2018
miramidori,"RT @_HollySam_: Siwon can easily just donate money and stay comfortably in Korea but no, he actually donates his time. That is more valuable","Siwon can easily just donate money and stay comfortably in Korea but no, he actually donates his time. That is more valuable",Sat Aug 04 06:31:33 +0000 2018
ayubyusuf17,@MuslimIQ .....distracted by cheeseburgers and romance movies what do you expect? When you have a public that has absolutely no sense of the problems facing their country what do you expect? When you have a public willing to donate money to get Kylie Jenner's net worth....,,Sat Aug 04 06:30:12 +0000 2018
MermaidNurse15,"However, I did also go through all my clothes when I got home and filled a garbage bag of stuff to donate. So yay for donating and boo for spending money I don’t have.",,Sat Aug 04 06:29:41 +0000 2018
lordvictor,@H4gb4rdCeline I used to donate relatively significant (5-digit) amounts of money to them every year back when I thought they cared about Civil Liberties and not just pushing progressive politics. I regret it.,,Sat Aug 04 06:29:24 +0000 2018
siPerdzAko,"RT @_HollySam_: Siwon can easily just donate money and stay comfortably in Korea but no, he actually donates his time. That is more valuable","Siwon can easily just donate money and stay comfortably in Korea but no, he actually donates his time. That is more valuable",Sat Aug 04 06:29:14 +0000 2018
Juan_E108,I need to go wash cars and still donate money !?!?!,,Sat Aug 04 06:28:16 +0000 2018
CrimsonGash,@fox5dc I'd donate money to a gofundme for a *special* white supremacists train. https://t.co/463xP5EXJ0,,Sat Aug 04 06:28:15 +0000 2018
fiona_fionnagal,RT @Yes2Kirkcaldy: I am raising money for New Independence Hub For Kirkcaldy. Click to Donate:  https://t.co/KbYhVFf3jF via @gofundme,I am raising money for New Independence Hub For Kirkcaldy. Click to Donate:  https://t.co/KbYhVFf3jF via @gofundme,Sat Aug 04 06:27:14 +0000 2018
vanarendrudi,"@liddo_rhedd No txs, maybe you can share my campaign after you read it :
I'm raising money for Keep me alive. Click to Donate:  https://t.co/xykzXQwIKL via @gofundme",,Sat Aug 04 06:25:53 +0000 2018
bysarahayoub,"RT @djed_press: *SHARE WIDELY* We're researching how many POC get published in Australia every year, along with @PerilMag @mascarareview @T…","*SHARE WIDELY* We're researching how many POC get published in Australia every year, along with @PerilMag @mascarareview @Tr3s8 @JasmeetSahi @mwikramanayake and others. 
We need your help/money to get it done, so please donate if you're able!!
https://t.co/YIkA0Zs7oZ",Sat Aug 04 06:25:18 +0000 2018
laurenviictora,RT @sighnatasha: His family is raising money to honor his birthday. Please donate what you can💓 https://t.co/DK8pmB2Tny,His family is raising money to honor his birthday. Please donate what you can💓 https://t.co/DK8pmB2Tny,Sat Aug 04 06:25:17 +0000 2018
RathmannSummer,"#paypig #findom #venmo 
Hi everyone please please donate some money to me!! &lt;3 I’ll love you forever",,Sat Aug 04 06:24:49 +0000 2018
vanarendrudi,"@liddo_rhedd No thanks. Maybe you can share my campaign after you read it
I'm raising money for Keep me alive. Click to Donate:  https://t.co/xykzXQwIKL via @gofundme",,Sat Aug 04 06:24:28 +0000 2018
paulneyliss1,RT @S_mandale: https://t.co/Ep00RoE0xa  My cousin is doing the GNR in memory of my dad and to raise money for Parkinsons Disease UK. Please…,https://t.co/Ep00RoE0xa  My cousin is doing the GNR in memory of my dad and to raise money for Parkinsons Disease UK. Please donate if you can,Sat Aug 04 06:23:42 +0000 2018
abi_krshn,"People who are concerned about our future and want to get us married should also donate some money and make us rich.

#SaturdayMotivation",,Sat Aug 04 06:22:56 +0000 2018
Godmotherliz,"RT @CrisLemon: What the hell is wrong with @realDonaldTrump? In what way is this relevant, intelligent, or in any way presidential? Do men…","What the hell is wrong with @realDonaldTrump? In what way is this relevant, intelligent, or in any way presidential? Do men who actually create REAL schools and donate THEIR money when they say they will intimidate you that much?! #sad #PresidentLoco #UnfitForOffice https://t.co/xa6Q2fZxKH",Sat Aug 04 06:22:37 +0000 2018
vintageshopcrtn,RT @Simplymelonie14: I'm raising money for Robert Kendrick’s heart surgery. Click to Donate:  https://t.co/7xQMW1kMXH via @gofundme,I'm raising money for Robert Kendrick’s heart surgery. Click to Donate:  https://t.co/7xQMW1kMXH via @gofundme,Sat Aug 04 06:22:29 +0000 2018
udderrunner,"@rrximpreza @stevie_bro @acobb83 @JoshFrydenberg What will the money be spent on...Consulates,an NGO research group called #IPA , which from the goodness of their hearts will donate substantial funds to the cash strapped 2019 Election campaign of the #LNP
just like #Parakeelia laundry, complete circle
#reefgate #auspol",,Sat Aug 04 06:22:12 +0000 2018
artistshrey163,RT @Baadshah_Ind: @anubhavsinha Finished watching #Mulk at PVR Icon.  As expected it's a flop show. Anubhav dont know writing and direction…,"@anubhavsinha Finished watching #Mulk at PVR Icon.  As expected it's a flop show. Anubhav dont know writing and direction.  Its a aweful movie. Instead of watching this movie in theatre u should donate that money to a bagger. 
Free show tha issliye dekh li 😁😂
#mymulk @taapsee @prateikbabbar",Sat Aug 04 06:22:02 +0000 2018
