yes_that_girl_,@reni_rhe9 Kiun k rat mein sari sadness ubhar aati hai 😂😊,,Sat Aug 04 11:39:02 +0000 2018
idrislg79,"@freemantravis6 @angela_rye Because we shouldn’t normalize his bullshit and because tragedy still incites sadness/anger.  It’s not that he’s making us upset, it’s just that we are reacting with to the continual reminder that we have a jackass for president.",,Sat Aug 04 11:30:22 +0000 2018
99vance,"@Pontifex Amen 🙏 Even though I am hurt and the pain lingers on each day, I will not give up, for the battle is already won. This sadness sickens my soul. These tears that hit my pillow at night longs to see happiness once more and I pray that You will open up a way for me.",,Sat Aug 04 11:30:20 +0000 2018
clf_santos,"RT @MalditangMayora: No one notice your tears, No one notice your sadness, No one notice your pains, But they all notice your mistakes.","No one notice your tears, No one notice your sadness, No one notice your pains, But they all notice your mistakes.",Sat Aug 04 11:30:19 +0000 2018
fbussey1,"“We came upon them as evil genii, and blasted them with the breath of our presence. We broke up their home circles. We arrested their laughing corrobory. We turned their song into weeping, and their mirth to sadness. “ #EDU102 curriculum’s role? https://t.co/2X03Uswgvz",,Sat Aug 04 11:30:18 +0000 2018
grc_lntng,"RT @jeyneyn_: hello sadness, my old friend. we meet again.","hello sadness, my old friend. we meet again.",Sat Aug 04 11:30:15 +0000 2018
Shoun_B,"I want to write rage but all that comes is sadness. We have been sad long
enough to make this earth either weep or grow fertile. I am an anachronism, a
sport, like the bee that was never meant to fly. Science said so. I am not
supposed to exist.",,Sat Aug 04 11:30:13 +0000 2018
JandersonJen,"RT @bethhill2829: Lots of kids come to school with their invisible backpacks, weighted with struggles. 

Stress, worry, fear, anxiety, trau…","Lots of kids come to school with their invisible backpacks, weighted with struggles. 

Stress, worry, fear, anxiety, trauma, lack of physical needs, loneliness, anger, sadness, &amp; hopelessness can make them so heavy; too heavy for learning to happen. 

Notice &amp; love them instead. https://t.co/7gB9UwdNfF",Sat Aug 04 11:30:12 +0000 2018
quadri_tosi,RT @Fact: Dogs can see sadness in humans and often attempt to make their owners happy by initiating cuddling.,Dogs can see sadness in humans and often attempt to make their owners happy by initiating cuddling.,Sat Aug 04 11:30:08 +0000 2018
mmmichaelangelo,"When I lost my mom who meant the world to me, nothing really mattered anymore. But then I realized that there’s still a lot of things I should be thankful for &amp; that I’m blessed in every way. That was the day I’ve decided to transform my sadness into gratitude 💖 https://t.co/ZPrXNxK33J",,Sat Aug 04 11:30:04 +0000 2018
dminor_sadness,RT @ShineMyGold: myself https://t.co/UIjI9fioVN,myself https://t.co/UIjI9fioVN,Sat Aug 04 11:30:00 +0000 2018
LovinMyTSwift13,RT @starryjens: listening to jennie's suggested songs because im going through the jennie drought and sadness,listening to jennie's suggested songs because im going through the jennie drought and sadness,Sat Aug 04 11:29:56 +0000 2018
darren_done,"RT @FaustiniMary: SAMSON, 5, #lab, has another day at #nycacc. He has a vol note, &amp; a u tube vid! Did not have an easy life. Let's turn his…","SAMSON, 5, #lab, has another day at #nycacc. He has a vol note, &amp; a u tube vid! Did not have an easy life. Let's turn his sadness into happiness, w/dancing eyes, huh? Can u give him a 🏡 w/ lots of ❤, &amp; TLC? But no meat products; allergic. #foster #adopt https://t.co/uuEIgjrDOm https://t.co/dDC7uXM9JX",Sat Aug 04 11:29:49 +0000 2018
davidslim53,"RT @LivPsy: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence",Sat Aug 04 11:29:47 +0000 2018
razumova,"RT @neilhimself: Got on a train with Ash. Me (thinks): Hah! He will be so excited and happy when he discovers we are in a sleeper car.
Open…","Got on a train with Ash. Me (thinks): Hah! He will be so excited and happy when he discovers we are in a sleeper car.
Opens door.  
Him: Where chair? Want chair! Trains got chairs dadda! (Cries bitter tears)
All tears+missing chair sadness now settled using Coraline on the iPad.",Sat Aug 04 11:29:46 +0000 2018
aimunibalqisss,"RT @danialzz__: may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of every…","may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of everything. the ones who need a break. may Allah put an end to your sadness, may He put a smile on your face.",Sat Aug 04 11:29:39 +0000 2018
CasiaWave,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 11:29:34 +0000 2018
bakucult,"RT @lainepngs: like,, for a few peeps wondering, lines under a character’s eyes are used by animators to indicate frustration, tiredness, a…","like,, for a few peeps wondering, lines under a character’s eyes are used by animators to indicate frustration, tiredness, and most commonly sadness so yeah,,, idk i think i just needed to point this out lmao https://t.co/9sLQXPM6e2",Sat Aug 04 11:29:30 +0000 2018
Treesknew,RT @SPACERAKUN: S di GTS itu artinya Sadness atau Sedih,S di GTS itu artinya Sadness atau Sedih,Sat Aug 04 11:29:25 +0000 2018
MarleneSalsona,"RT @Mye_Pixie: “Smile, even if it’s a sad smile, because sadder than a sad smile is the sadness of not knowing how to smile.” #ALDUBHanggan…","“Smile, even if it’s a sad smile, because sadder than a sad smile is the sadness of not knowing how to smile.” #ALDUBHanggangSaHuli 

https://t.co/p0N9BW2g5u",Sat Aug 04 11:29:23 +0000 2018
jackieenicolexo,"RT @marissabrookex0: i never wish this sadness &amp; anxiety upon anyone, because noone understand how much it takes out of you &amp; how much it k…","i never wish this sadness &amp; anxiety upon anyone, because noone understand how much it takes out of you &amp; how much it kills you inside.",Sat Aug 04 11:29:16 +0000 2018
sanaizgay,Only twice makes me get over this sadness.,,Sat Aug 04 11:29:14 +0000 2018
adlseven,If only I could take away that sadness in you,,Sat Aug 04 11:29:12 +0000 2018
geetofly1,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 11:28:59 +0000 2018
IslaBarbaraisa,RT @grabesila: Life has knocked me down a few times. It has shown me things I never wanted to see. I have experienced sadness and failures.…,"Life has knocked me down a few times. It has shown me things I never wanted to see. I have experienced sadness and failures. But one thing for sure, I always get up.
#ALDUBHanggangSaHuli",Sat Aug 04 11:28:59 +0000 2018
PrachiMalik,"RT @me_aahana: Do not watch the petals 
fall from the rose
with sadness, 
know that, 
like life, 
things sometimes 
must fade, 
before they…","Do not watch the petals 
fall from the rose
with sadness, 
know that, 
like life, 
things sometimes 
must fade, 
before they 
can bloom again https://t.co/lmdko8Pbu3",Sat Aug 04 11:28:59 +0000 2018
NathanJSpicer,"That feeling of excitement and anticipation for travel mixed with sadness at leaving my family again. Alarm set for 4:45am as I head the 🇺🇸 for a week. This trip is the last one of a busy season of travel and then time to pause, reflect and be home",,Sat Aug 04 11:28:58 +0000 2018
evakanenbleyy,RT @peedekaf: even kid cudi's humming couldn't soothe this sadness :(,even kid cudi's humming couldn't soothe this sadness :(,Sat Aug 04 11:28:56 +0000 2018
SimplyKiraa_,RT @ChefScott_: “Fake happiness is the worst sadness.”,“Fake happiness is the worst sadness.”,Sat Aug 04 11:28:49 +0000 2018
HannahSofia28,RT @VMiguelG: You save other people from sadness but no one saves you.,You save other people from sadness but no one saves you.,Sat Aug 04 11:28:49 +0000 2018
ZeiinDull,"RT @JonaxxCo: Hey,

Thank u for adding color to this fandom

Thank u for coming

Thank u for staying

Thank u for the happiness, sadness, a…","Hey,

Thank u for adding color to this fandom

Thank u for coming

Thank u for staying

Thank u for the happiness, sadness, anger, excitement and all the emotions u've shared with this family

Thank u for supporting @jonaxx_WP

#JSLMakingHI5TORY
#JSLFlyingHighForFiveYears",Sat Aug 04 11:28:45 +0000 2018
yatashd1,"RT @Malec_Immortal: I know some of you are feeling too much pain and sadness to be here, and that's OK. Just please promise me you'll come…","I know some of you are feeling too much pain and sadness to be here, and that's OK. Just please promise me you'll come back because we still need help promoting the show. 🙏 We have 12 episodes coming and hopefully more, I don't want to lose this fandom. #SaveShadowhunters",Sat Aug 04 11:28:38 +0000 2018
MalditangMayora,"No one notice your tears, No one notice your sadness, No one notice your pains, But they all notice your mistakes.",,Sat Aug 04 11:28:37 +0000 2018
ZFarouk213,"RT @itstaytorres: Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too…","Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too little. Not wanting to eat or take care of your body. It’s a lack of motivation once there. A dislike in your own interests.",Sat Aug 04 11:28:33 +0000 2018
nicslatina,Kagaling sadya manlamon ni sadness,,Sat Aug 04 11:28:32 +0000 2018
SADBOiXAN,RT @AliciaMarieLyn2: EVERYTIME I SEE A LIVE VIDEO NOW IT GETS HARDER AND HARDER 😭 WHAT THE FUCK. YET ALL I WANNA DO IS SIT HERE AND LOSE SL…,EVERYTIME I SEE A LIVE VIDEO NOW IT GETS HARDER AND HARDER 😭 WHAT THE FUCK. YET ALL I WANNA DO IS SIT HERE AND LOSE SLEEP TO WATCH VIDEOS OF HIM 💔 I find myself skipping past videos just to avoid the sadness. #riplilpeep #lilpeep #gustavahr @Lilpeep #lilpeepFOREVER #diealegend https://t.co/jdFWrspfPw,Sat Aug 04 11:28:26 +0000 2018
ohmyghellian_g,RT @sadpapizey: A DAY WITHOUT SADNESS PLEASE!!!!,A DAY WITHOUT SADNESS PLEASE!!!!,Sat Aug 04 11:28:17 +0000 2018
Shadybadr741,"I need 20,000 to replace my sadness 😩😩",,Sat Aug 04 11:28:17 +0000 2018
6mrvnlsn9,"RT @eightbitstories: there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes","there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes",Sat Aug 04 11:28:17 +0000 2018
chloecairney_xo,RT @ssophieblackk: Having ur heart ache with sadness is such a horrible feeling:(,Having ur heart ache with sadness is such a horrible feeling:(,Sat Aug 04 11:28:15 +0000 2018
angelaashanee,"RT @JonaxxCo: Hey,

Thank u for adding color to this fandom

Thank u for coming

Thank u for staying

Thank u for the happiness, sadness, a…","Hey,

Thank u for adding color to this fandom

Thank u for coming

Thank u for staying

Thank u for the happiness, sadness, anger, excitement and all the emotions u've shared with this family

Thank u for supporting @jonaxx_WP

#JSLMakingHI5TORY
#JSLFlyingHighForFiveYears",Sat Aug 04 11:28:11 +0000 2018
Jerlenbenjamin1,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 11:28:10 +0000 2018
Greg_Dryer,"And ⁦@RealDonad_Trump⁩ has the audacity to call the man behind this dumb. He wishes he was 1% of ⁦@KingJames⁩. My only sadness is that the richest nation on earth needs to rely on smart, wealthy people to do this stuff.  https://t.co/Zmz1zzGpQs",,Sat Aug 04 11:28:07 +0000 2018
EnyahSuga134340,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 11:28:04 +0000 2018
moralorel_en,"I'm a real person who has thoughts of sadness, sometimes... along with happy thoughts or scared or aloneness thoughts...",,Sat Aug 04 11:28:02 +0000 2018
PaperLuigi00,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 11:27:59 +0000 2018
anshmohdamrun_,RT @mxsriyatalks: i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a t…,i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a thing on Earth that’s worth your sadness.,Sat Aug 04 11:27:50 +0000 2018
nik_akmal3456,RT @mxsriyatalks: i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a t…,i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a thing on Earth that’s worth your sadness.,Sat Aug 04 11:27:49 +0000 2018
chevymichele,"RT @FaustiniMary: SAMSON, 5, #lab, has another day at #nycacc. He has a vol note, &amp; a u tube vid! Did not have an easy life. Let's turn his…","SAMSON, 5, #lab, has another day at #nycacc. He has a vol note, &amp; a u tube vid! Did not have an easy life. Let's turn his sadness into happiness, w/dancing eyes, huh? Can u give him a 🏡 w/ lots of ❤, &amp; TLC? But no meat products; allergic. #foster #adopt https://t.co/uuEIgjrDOm https://t.co/dDC7uXM9JX",Sat Aug 04 11:27:48 +0000 2018
