freakythump,@RiversCuomo these rumors about a Weezer concert better be true fam,,Sat Aug 04 12:08:17 +0000 2018
minhyungseok,"RT @frappedhes: how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’…","how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’t
 a.) be affected on rumors 
 b.) be jealous on ships 

3. know 
  a. ) your role as a fan 
  b. ) your limits 

4. just  
a. ) be positive 
b. ) be happy",Sat Aug 04 11:51:49 +0000 2018
raprhymefacts,"""Done seen a lot shit, Lord knows I try..rumors hurt me inside but I'm still showing pride."" -Lil Boosie",,Sat Aug 04 11:51:45 +0000 2018
elvitafitrianii,RT @ImNewclears: Let's not spread rumors about Yoon Soyoon. Eunbi was rumored to leave woollim before p48 and look at her now. Let's be pat…,"Let's not spread rumors about Yoon Soyoon. Eunbi was rumored to leave woollim before p48 and look at her now. Let's be patient...
Hope she is still a woollim trainee..",Sat Aug 04 11:51:39 +0000 2018
Preloggy,"@father_mayhem @Tweets4DJT In 2012, https://t.co/puKEeQKIEZ reviewed a sample of Snopes' responses to political rumors regarding George W. Bush, Sarah Palin, and Barack Obama, and found them to be free from bias in all cases",,Sat Aug 04 11:51:37 +0000 2018
cryeroverspill1,RT @jeonginsmiIe: hyuna and edawn confirming the dating rumors bc they didn’t want to lie to their fans is honestly the biggest display of…,hyuna and edawn confirming the dating rumors bc they didn’t want to lie to their fans is honestly the biggest display of big dick energy in the kpop industry rn. They knew they would get hate but they still said fuck it and went for it. I love legends.,Sat Aug 04 11:51:25 +0000 2018
Preloggy,"@Eiregirl_420ppl @Tweets4DJT In 2012, https://t.co/puKEeQKIEZ reviewed a sample of Snopes' responses to political rumors regarding George W. Bush, Sarah Palin, and Barack Obama, and found them to be free from bias in all cases",,Sat Aug 04 11:51:22 +0000 2018
vicious_rumors,@nnn_sjk じゃぁ、もう絶対しないねんな？,,Sat Aug 04 11:51:21 +0000 2018
staygoldsvt17,"RT @ptg1010_kao: CUBEエンターテインメントの株、デートのニュースの相次ぐ噂に低下する。

CUBEの株価は8月3日現在で5.24％下落しており、現在の株価は2,530ウォン（2.24米ドル）であるとの最新報告がある。
https://t.co/FoSUWN6…","CUBEエンターテインメントの株、デートのニュースの相次ぐ噂に低下する。

CUBEの株価は8月3日現在で5.24％下落しており、現在の株価は2,530ウォン（2.24米ドル）であるとの最新報告がある。
https://t.co/FoSUWN6IZS",Sat Aug 04 11:51:19 +0000 2018
ktehyung_,"RT @9idle: btob: dating rumor
hyuna: dating rumor
pentagon: dating rumors
(g)-idle: dating rumor
clc: dating rumor
guan: lin","btob: dating rumor
hyuna: dating rumor
pentagon: dating rumors
(g)-idle: dating rumor
clc: dating rumor
guan: lin",Sat Aug 04 11:51:19 +0000 2018
ahgotluv,RT @absolutelykino: hui confirming he dated soojin before and hyojong &amp; hyuna admitting they are dating bc they wanna be honest with fans a…,hui confirming he dated soojin before and hyojong &amp; hyuna admitting they are dating bc they wanna be honest with fans after all the rumors just proves Triple H got the biggest largest most huge DICK in kpop industry,Sat Aug 04 11:51:19 +0000 2018
92JINTRO,"RT @frappedhes: how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’…","how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’t
 a.) be affected on rumors 
 b.) be jealous on ships 

3. know 
  a. ) your role as a fan 
  b. ) your limits 

4. just  
a. ) be positive 
b. ) be happy",Sat Aug 04 11:51:18 +0000 2018
evgnyknma,RT @sabalxjay: idk why these fake ass people loves to spread fake rumors 🙄,idk why these fake ass people loves to spread fake rumors 🙄,Sat Aug 04 11:51:13 +0000 2018
nnn_sjk,@vicious_rumors うそじゃないもん,,Sat Aug 04 11:51:11 +0000 2018
ravishingtan,"RT @frappedhes: how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’…","how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’t
 a.) be affected on rumors 
 b.) be jealous on ships 

3. know 
  a. ) your role as a fan 
  b. ) your limits 

4. just  
a. ) be positive 
b. ) be happy",Sat Aug 04 11:51:09 +0000 2018
tobimochi_,"RT @frappedhes: how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’…","how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’t
 a.) be affected on rumors 
 b.) be jealous on ships 

3. know 
  a. ) your role as a fan 
  b. ) your limits 

4. just  
a. ) be positive 
b. ) be happy",Sat Aug 04 11:51:08 +0000 2018
84PICK,"RT @badt_BOI_: ""I like truth and I dey rock Rumors""

This line hits me when i realised 2face has a club called Rumors https://t.co/c1uACMae…","""I like truth and I dey rock Rumors""

This line hits me when i realised 2face has a club called Rumors https://t.co/c1uACMaec8",Sat Aug 04 11:51:07 +0000 2018
kindoflana,RT @nueports: yes the rumors are true i only trust myself that bitch has always been there for me,yes the rumors are true i only trust myself that bitch has always been there for me,Sat Aug 04 11:51:05 +0000 2018
staegmakth,"RT @frappedhes: how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’…","how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’t
 a.) be affected on rumors 
 b.) be jealous on ships 

3. know 
  a. ) your role as a fan 
  b. ) your limits 

4. just  
a. ) be positive 
b. ) be happy",Sat Aug 04 11:51:03 +0000 2018
Preloggy,"@BETTYC54237175 @Tweets4DJT ""Left-wing ""fake-fact"" 

LOL.

In 2012, https://t.co/puKEeQKIEZ reviewed a sample of Snopes' responses to political rumors regarding George W. Bush, Sarah Palin, and Barack Obama, and found them to be free from bias in all cases

Try again. Research next time",,Sat Aug 04 11:50:59 +0000 2018
jooniebby,all y’all making a joke out of idols losing fans once dating rumors are out &amp; confirmed look dumb as hell. their lives aren’t a stan twitter joke,,Sat Aug 04 11:50:58 +0000 2018
decaypatel,RT @AskAnshul: Tripura CM Biplab Deb's Wikipedia article edited to spread rumors of him being born in Bangladesh. Harmful elements trying h…,Tripura CM Biplab Deb's Wikipedia article edited to spread rumors of him being born in Bangladesh. Harmful elements trying hard to mislead people amidst the recent debate on NRC draft. This is the extent they can go to for their propaganda &amp; play with National Security !,Sat Aug 04 11:50:54 +0000 2018
vicious_rumors,あきらめたはずやのに　もう１年半たつけど　アカメアマガエルあきらめきれないでいる俺　生き餌あげないといけないのがネックなんだよな　なんか方法考えるかな,,Sat Aug 04 11:50:51 +0000 2018
Hee_sam_,"RT @BTSherald: Hello, this is BTS Herald, account aims to protect the BTS, I investigate and report sasaengs, expose accounts fakes, debunk…","Hello, this is BTS Herald, account aims to protect the BTS, I investigate and report sasaengs, expose accounts fakes, debunks rumors
to report something important to me, contact me at e-mail:
btsherald@daum.net
Report to BigHit
protect@bighitcorp.com
My personal account @peachyux",Sat Aug 04 11:50:49 +0000 2018
yuhnks,"RT @frappedhes: how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’…","how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’t
 a.) be affected on rumors 
 b.) be jealous on ships 

3. know 
  a. ) your role as a fan 
  b. ) your limits 

4. just  
a. ) be positive 
b. ) be happy",Sat Aug 04 11:50:45 +0000 2018
matcharapp,"RT @frappedhes: how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’…","how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’t
 a.) be affected on rumors 
 b.) be jealous on ships 

3. know 
  a. ) your role as a fan 
  b. ) your limits 

4. just  
a. ) be positive 
b. ) be happy",Sat Aug 04 11:50:37 +0000 2018
LyricsEnglish,RT @DemoSeries0102: @theseoulstory King of clearing up three dating rumors in one go,@theseoulstory King of clearing up three dating rumors in one go,Sat Aug 04 11:50:33 +0000 2018
Kristandeleon6,"RT @frappedhes: how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’…","how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’t
 a.) be affected on rumors 
 b.) be jealous on ships 

3. know 
  a. ) your role as a fan 
  b. ) your limits 

4. just  
a. ) be positive 
b. ) be happy",Sat Aug 04 11:50:30 +0000 2018
niconiconii114,"RT @frappedhes: how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’…","how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’t
 a.) be affected on rumors 
 b.) be jealous on ships 

3. know 
  a. ) your role as a fan 
  b. ) your limits 

4. just  
a. ) be positive 
b. ) be happy",Sat Aug 04 11:50:30 +0000 2018
JiminieChuus,RT @astrogyrll: I can’t wait for bts dating rumors so I can see everybody on the timeline doing this https://t.co/NUhJ4kx84Y,I can’t wait for bts dating rumors so I can see everybody on the timeline doing this https://t.co/NUhJ4kx84Y,Sat Aug 04 11:50:21 +0000 2018
vivek1527,RT @AskAnshul: Tripura CM Biplab Deb's Wikipedia article edited to spread rumors of him being born in Bangladesh. Harmful elements trying h…,Tripura CM Biplab Deb's Wikipedia article edited to spread rumors of him being born in Bangladesh. Harmful elements trying hard to mislead people amidst the recent debate on NRC draft. This is the extent they can go to for their propaganda &amp; play with National Security !,Sat Aug 04 11:50:20 +0000 2018
loveforbts7,"RT @frappedhes: how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’…","how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’t
 a.) be affected on rumors 
 b.) be jealous on ships 

3. know 
  a. ) your role as a fan 
  b. ) your limits 

4. just  
a. ) be positive 
b. ) be happy",Sat Aug 04 11:50:19 +0000 2018
dreamyminjoo,RT @c_tzuyugucci: @OH_mes this is more exciting than e’dawn x hyuna dating rumors,@OH_mes this is more exciting than e’dawn x hyuna dating rumors,Sat Aug 04 11:50:09 +0000 2018
IzyanHanani98,"RT @9idle: btob: dating rumor
hyuna: dating rumor
pentagon: dating rumors
(g)-idle: dating rumor
clc: dating rumor
guan: lin","btob: dating rumor
hyuna: dating rumor
pentagon: dating rumors
(g)-idle: dating rumor
clc: dating rumor
guan: lin",Sat Aug 04 11:50:06 +0000 2018
chaerryturtle,"RT @BABYHYUNGWONIE: btob: dating rumor
hyuna: dating rumor
pentagon: dating rumors
(g)-idle: dating rumor
clc: dating rumor

then theres mo…","btob: dating rumor
hyuna: dating rumor
pentagon: dating rumors
(g)-idle: dating rumor
clc: dating rumor

then theres monsta x

interviewer: do any of the members have girlfriend?

I.M : yeah

Wonho: *super shookt*

I.M:  M-O-N-B-E-B-E

Jooheon: thats are girlfriend's name",Sat Aug 04 11:50:05 +0000 2018
smileytaexo,RT @adoreyoujin: it went from “hyuna and edawn reportedly dating” to “cube denies dating rumors” to “hyuna and edawn confirmed dating for 2…,it went from “hyuna and edawn reportedly dating” to “cube denies dating rumors” to “hyuna and edawn confirmed dating for 2 years” what a wild ride,Sat Aug 04 11:49:48 +0000 2018
Magi19213351919,"RT @TrollBeep: Rumors spreading that @Suriya_offl going to play a role as #MGR in #NGk

And #Rakulpreet as #Jayalalitha

If this is true th…","Rumors spreading that @Suriya_offl going to play a role as #MGR in #NGk

And #Rakulpreet as #Jayalalitha

If this is true then it will create a vera level expectation🔥🔥🔥",Sat Aug 04 11:49:48 +0000 2018
KumamXn78029297,RT @adoreyoujin: it went from “hyuna and edawn reportedly dating” to “cube denies dating rumors” to “hyuna and edawn confirmed dating for 2…,it went from “hyuna and edawn reportedly dating” to “cube denies dating rumors” to “hyuna and edawn confirmed dating for 2 years” what a wild ride,Sat Aug 04 11:49:40 +0000 2018
kamalm0n,RT @6godxae: Kim K has a sex tape and Kanye still married her but y’all scared to talk to a girl bc of some rumors you heard,Kim K has a sex tape and Kanye still married her but y’all scared to talk to a girl bc of some rumors you heard,Sat Aug 04 11:49:39 +0000 2018
taehyungkookk,"RT @frappedhes: how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’…","how to protect your fandom / family

1. each fan should
 a.) never argue
 b.) never demand
 c.) never join fanwars

2. don’t
 a.) be affected on rumors 
 b.) be jealous on ships 

3. know 
  a. ) your role as a fan 
  b. ) your limits 

4. just  
a. ) be positive 
b. ) be happy",Sat Aug 04 11:49:36 +0000 2018
Bangchrisnuna92,RT @absolutelykino: hui confirming he dated soojin before and hyojong &amp; hyuna admitting they are dating bc they wanna be honest with fans a…,hui confirming he dated soojin before and hyojong &amp; hyuna admitting they are dating bc they wanna be honest with fans after all the rumors just proves Triple H got the biggest largest most huge DICK in kpop industry,Sat Aug 04 11:49:35 +0000 2018
