Tim70774497,I'm raising money for Carr fire . Click to Donate:  https://t.co/n0Z0jl0I9a via @gofundme,,Sat Aug 04 07:33:36 +0000 2018
paulneyliss1,RT @S_mandale: https://t.co/Ep00RoE0xa  My cousin is doing the GNR in memory of my dad and to raise money for Parkinsons Disease UK. Please…,https://t.co/Ep00RoE0xa  My cousin is doing the GNR in memory of my dad and to raise money for Parkinsons Disease UK. Please donate if you can,Sat Aug 04 06:23:42 +0000 2018
abi_krshn,"People who are concerned about our future and want to get us married should also donate some money and make us rich.

#SaturdayMotivation",,Sat Aug 04 06:22:56 +0000 2018
Godmotherliz,"RT @CrisLemon: What the hell is wrong with @realDonaldTrump? In what way is this relevant, intelligent, or in any way presidential? Do men…","What the hell is wrong with @realDonaldTrump? In what way is this relevant, intelligent, or in any way presidential? Do men who actually create REAL schools and donate THEIR money when they say they will intimidate you that much?! #sad #PresidentLoco #UnfitForOffice https://t.co/xa6Q2fZxKH",Sat Aug 04 06:22:37 +0000 2018
vintageshopcrtn,RT @Simplymelonie14: I'm raising money for Robert Kendrick’s heart surgery. Click to Donate:  https://t.co/7xQMW1kMXH via @gofundme,I'm raising money for Robert Kendrick’s heart surgery. Click to Donate:  https://t.co/7xQMW1kMXH via @gofundme,Sat Aug 04 06:22:29 +0000 2018
udderrunner,"@rrximpreza @stevie_bro @acobb83 @JoshFrydenberg What will the money be spent on...Consulates,an NGO research group called #IPA , which from the goodness of their hearts will donate substantial funds to the cash strapped 2019 Election campaign of the #LNP
just like #Parakeelia laundry, complete circle
#reefgate #auspol",,Sat Aug 04 06:22:12 +0000 2018
artistshrey163,RT @Baadshah_Ind: @anubhavsinha Finished watching #Mulk at PVR Icon.  As expected it's a flop show. Anubhav dont know writing and direction…,"@anubhavsinha Finished watching #Mulk at PVR Icon.  As expected it's a flop show. Anubhav dont know writing and direction.  Its a aweful movie. Instead of watching this movie in theatre u should donate that money to a bagger. 
Free show tha issliye dekh li 😁😂
#mymulk @taapsee @prateikbabbar",Sat Aug 04 06:22:02 +0000 2018
Jbird10205,"RT @fundingmonster: Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #health #healthcare #fundingmo…","Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #health #healthcare #fundingmonster

@rmlupo

Please #support #Service #Dog 🐕  for Robyn #donate here #today: 

⬇️
https://t.co/NECtXpxxPS",Sat Aug 04 06:21:43 +0000 2018
JusticeBringer3,@XLNB MJ would donate money to Trump for 2020 before he did that.,,Sat Aug 04 06:20:08 +0000 2018
vanarendrudi,I'm raising money for Keep me alive. Click to Donate:  https://t.co/xykzXQwIKL via @gofundme,,Sat Aug 04 06:20:00 +0000 2018
blythes_,RT @Silli_Scientist: @ialhusseini @RAN I mean you could just donate the money right? Instead of using it to market yourself. Interesting.,@ialhusseini @RAN I mean you could just donate the money right? Instead of using it to market yourself. Interesting.,Sat Aug 04 06:19:05 +0000 2018
Danny_Shred,@Crema351 @realDonaldTrump Holy shit that would raise so much money for Bron’s school. This is win win win. Who wouldn’t donate to see that?!,,Sat Aug 04 06:17:46 +0000 2018
RobinJa65143161,I'm raising money for RENEE JACKSON FOLTZ' STORY. Click to Donate:  https://t.co/iaHV2EEFh4 via @gofundme,,Sat Aug 04 06:17:46 +0000 2018
dewhyalike,RT @FatimaEllams: Please Help! I do not know how long I have! The Cancer will not respond to Chemo/Radiation Therapy. It has spread to both…,"Please Help! I do not know how long I have! The Cancer will not respond to Chemo/Radiation Therapy. It has spread to both lungs &amp; ovaries! I will be homeless soon.

I need money for Alternative Treatment &amp; a place to live...

Please Donate! 👇🏿🙏🏿❤

https://t.co/2xNnx3Pmey",Sat Aug 04 06:17:02 +0000 2018
_colormepiggy,"RT @ImJustJAG: Hey y’all,
I’m looking for sponsors to donate to my retail therapy sessions. Your money is well appreciated!","Hey y’all,
I’m looking for sponsors to donate to my retail therapy sessions. Your money is well appreciated!",Sat Aug 04 06:16:00 +0000 2018
RealMattyIce87,"RT @Sunbird5274: #TeamJayme
I'm raising money for Mylee Frances Snowden Memorial Fund. Click to Donate:  https://t.co/htafspmnKR via @gofun…","#TeamJayme
I'm raising money for Mylee Frances Snowden Memorial Fund. Click to Donate:  https://t.co/htafspmnKR via @gofundme",Sat Aug 04 06:14:31 +0000 2018
AlienAngel99,RT @_MrManifest: I had this church dude ask if I wanted to donate money to “god”. What the sky daddy gone do with the money? Spend it in he…,I had this church dude ask if I wanted to donate money to “god”. What the sky daddy gone do with the money? Spend it in heaven? How you gone send it? Skymail??,Sat Aug 04 06:14:15 +0000 2018
p0lygenesis,@Femmefeministe Non-binary person here pledging to donate money to @RAICESTEXAS as soon as possible!,,Sat Aug 04 06:09:45 +0000 2018
brendaa17__,"RT @mcelsanti: I need help raising money for My Cosmetology Class. Please help me 😭, any help will be greatly appreciated. Click to Donate:…","I need help raising money for My Cosmetology Class. Please help me 😭, any help will be greatly appreciated. Click to Donate:  https://t.co/IGMcJrg9C2 via @gofundme",Sat Aug 04 06:08:02 +0000 2018
TunggalBettina,"RT @funder: RT if you agree Ivanka, Eric &amp; Don Jr need to be investigated further.

Our evidence has been featured on MSNBC, CNN, Washingto…","RT if you agree Ivanka, Eric &amp; Don Jr need to be investigated further.

Our evidence has been featured on MSNBC, CNN, Washington Post, Huffington Post, and dozens of other news outlets. But the research costs money. Help us fund it below. #TheResistance https://t.co/A2MaosO6lX",Sat Aug 04 06:07:48 +0000 2018
EcoCarWashRhys,"https://t.co/LacvvjEX7l
Liam raising money for Macmillan Cancer Support. Two mile open water swim down the Thames. Please donate. #macmillan #cancer #SwimtheThames",,Sat Aug 04 06:07:15 +0000 2018
klwnstl,"No donations yet. Help launch this campaign and become the first donor.
I'm raising money for KLR 1 Friends First WAD Concert. Click to Donate:  https://t.co/UfOthx5Y10 via @gofundme",,Sat Aug 04 06:07:13 +0000 2018
LoraBethBush1,"RT @jessiepaege: thank you for 1 million views on my coming out video! 🏳️‍🌈🌟

I’ve been able to donate so much money to LGBTQ+ charities wi…","thank you for 1 million views on my coming out video! 🏳️‍🌈🌟

I’ve been able to donate so much money to LGBTQ+ charities with the ad money and I’ve grown immensely as a person since. 

Proud of myself ☺️ https://t.co/yuxiwPAPOY",Sat Aug 04 06:05:37 +0000 2018
Crema351,"@realDonaldTrump You should have a charity boxing match with LeBron.  If he wins, proceeds to his schools... If you win, you use the money for your wall.  I'd donate $500.",,Sat Aug 04 06:05:21 +0000 2018
AlsoRandom,"@Drdavespart She may not need it, but in the interests of safeguarding our civil liberties, I'd happily donate money towards her legal fees.",,Sat Aug 04 06:03:59 +0000 2018
ElmsPearanoid,Donate money to and put it toward my Fight Culex incentive!,,Sat Aug 04 06:01:44 +0000 2018
EchoesOfKyraaa,"RT @janeabrams: Please help us by making a donation any amount will go a long way we need your help folks 
Thank you 
Please share widely 🙏…","Please help us by making a donation any amount will go a long way we need your help folks 
Thank you 
Please share widely 🙏❤️
I'm raising money for Medical . Click to Donate:  https://t.co/uTY4rrfm6R via @gofundme",Sat Aug 04 06:01:12 +0000 2018
accessibledigi,@LittleMissFlint hello! Is there a PayPal or Gofund me campaign that the people can donate money towards water to for your city? Please check your DM I would love to help 🙋🏾‍♂️✉️,,Sat Aug 04 06:01:00 +0000 2018
rachelsjnkntrnk,"East County Friends, Alexis Jones is having her yardsale tomorrow (Saturday) please consider dropping by to purchase and/or donate! She's raising money for school tuition. Let's gather as friends, a community,... https://t.co/t0MWEEBTp1",,Sat Aug 04 06:00:23 +0000 2018
dadriewne,I'm raising money for Handicapped accessible home. Click to Donate:  https://t.co/tqb6jruNsC via @gofundme,,Sat Aug 04 05:59:05 +0000 2018
StrengthMSimple,"RT @HartpuryRFC: To show our support for @RhysOakley2 in his battle against cancer, our players will be shaving their heads before our @cha…","To show our support for @RhysOakley2 in his battle against cancer, our players will be shaving their heads before our @champrugby opener against @carnegierugby, with money raised going to @ItsInTheBag and Rhys and his family. 
Please RT. 

Donate here ➡️ https://t.co/t5ppcxpld2",Sat Aug 04 05:58:31 +0000 2018
fequiquedegud,"@MrBeastYT Hi MrBeast, I've been following your channel and I love all your videos like the ones where you donate money to ninja random streamers and courage I also love the one where you drove around in toy Lego cars! I'll tell you the rest in my next tweet it doesnt let me type",,Sat Aug 04 05:57:54 +0000 2018
milk_and_money_,RT @19_Lhalha: I have been financially excluded at CPUT because my full bursary went AWOL. I need help from 159 000 people. Please donate R…,"I have been financially excluded at CPUT because my full bursary went AWOL. I need help from 159 000 people. Please donate R1 into my student account. Student no.213067188.
RT &amp; help me get back in school in 2019
#countryduty
#feesmustfall
#2019backToSchool
@tumisole 
@moflavadj https://t.co/OL6EqBFhfe",Sat Aug 04 05:57:38 +0000 2018
AndreaArwenH,I'm raising money for Media Birthday. Click to Donate:  https://t.co/ElfQ5tf4k7 via @gofundme,,Sat Aug 04 05:55:53 +0000 2018
barryrutherford,"RT @plalor: I know cyclists don’t have pockets in their Lycra, but I reckon cycling fans can show some love and donate  some money for the…","I know cyclists don’t have pockets in their Lycra, but I reckon cycling fans can show some love and donate  some money for the legendary Brad McGee who is sleeping out this Sunday to raise money for the homeless.  https://t.co/P4wRacJL58",Sat Aug 04 05:55:40 +0000 2018
Lildebr,RT @Ojeda4congress: We are winning this race but the GOP has said they will not let WV-03 go without a fight. Stand with me and help me fig…,"We are winning this race but the GOP has said they will not let WV-03 go without a fight. Stand with me and help me fight against the wave of Koch Brothers and corporate money heading our way at 
https://t.co/ADaq1GI5OF https://t.co/7VJ3viQ4P6",Sat Aug 04 05:55:26 +0000 2018
Carlos_816,I'm raising money for Been in debt for 5  years. Click to Donate:  https://t.co/ePPXlTPMKY via @gofundme,,Sat Aug 04 05:54:46 +0000 2018
StellaLeBeer,RT @annmarieclark13: I am doing the #MemoryWalk in September to raise money for #DementiaAwareness. In the UK a person is diagnosed with #d…,"I am doing the #MemoryWalk in September to raise money for #DementiaAwareness. In the UK a person is diagnosed with #dementia every 3 minutes. Including my Grandad.💔 Please if you can donate anything at all, it would mean the world. 🌎 https://t.co/22snYH3EHC https://t.co/O2CKkjbN5Y",Sat Aug 04 05:53:08 +0000 2018
blobscab,@democratshatef1 @MarriedManTalk @KaitMarieox why would that make me mad i make money off every gun bought in the us since my grandad invented the assault rifle-15 and then I donate all the money to isis,,Sat Aug 04 05:52:55 +0000 2018
justicepal2014,"RT @cyclethebigride: ONE DAY until #TheBigRide 2018!!! ✌️🚴‍♀️

We are just over £5,000 of our target; please help us raise money for @MECAF…","ONE DAY until #TheBigRide 2018!!! ✌️🚴‍♀️

We are just over £5,000 of our target; please help us raise money for @MECAForPeace, for children traumatised by the situation in Gaza. 

Please donate on our global giving page: https://t.co/jkfnHr8PMq…/sports-for-girls-in-gaza/! https://t.co/XbwbRFiiDD",Sat Aug 04 05:51:18 +0000 2018
rachelsjnkntrnk,"East County Friends, Alexis Jones is having her yardsale tomorrow (Saturday) please consider dropping by to purchase and/or donate! Shes raising money for school tuition. Let's gather as friends, a community,... https://t.co/04WLWMIEhL",,Sat Aug 04 05:50:19 +0000 2018
blissejun,"i know it may be pointless to some of you and i know that on gofundme there are people who really need to get money more than i do but...victon are my ults and i reallyyyyyy want to see them so i’d appreciate it if someone would donate....
https://t.co/BVzgU3FxHf",,Sat Aug 04 05:47:56 +0000 2018
ChristiansonDc,RT @alyvanduzer: I'm raising money for In memory of Mindy Matasowski. Click to Donate:  https://t.co/xxuPXilHyZ via @gofundme,I'm raising money for In memory of Mindy Matasowski. Click to Donate:  https://t.co/xxuPXilHyZ via @gofundme,Sat Aug 04 05:47:45 +0000 2018
taessmolder,"I need love, but I’ll take money if you’re willing to donate to a charity https://t.co/wLGKKpubvO",,Sat Aug 04 05:47:33 +0000 2018
tiffers4trump,@NBATwitt3r @realDonaldTrump Hmmm. Let's see now. Didn't Trump donate his second quarter salary to schools didn't he just donate his salary to Vets. Isn't his company actually losing money. The economy is up. Welfare is down. What exactly is your point,,Sat Aug 04 05:46:11 +0000 2018
Chybug_97,RT @ErinBrownWrites: Can we crowdfund to buy the guys a plane and a pilot’s salary and private airport fees and then donate the money to Bi…,Can we crowdfund to buy the guys a plane and a pilot’s salary and private airport fees and then donate the money to BigHit as a trust that has very specific regulations for use?,Sat Aug 04 05:44:34 +0000 2018
mvandendorpe,RT @sarahlaughed: Just saw a website for a congregation that featured on its navigation bar a link for “Support.” “How wonderful to have up…,"Just saw a website for a congregation that featured on its navigation bar a link for “Support.” “How wonderful to have up front for people in crisis seeking support,” I thought. Turns out ‘twas just a link to donate money and labor to that church. #MinistryReversed",Sat Aug 04 05:44:32 +0000 2018
AndreaArwenH,I'm raising money for Media Birthday. Click to Donate:  https://t.co/7fplaxXvLR via @gofundme,,Sat Aug 04 05:44:30 +0000 2018
_tetehernandez,I know money isn’t everything but I always feel so good whenever I donate to any shelters or children hospitals :( ❤️,,Sat Aug 04 05:43:44 +0000 2018
